sample_id,case_id,trace_number,actual_laser_power_w,scan_speed_mm_s,system,material
amb2018_02_ammt_trace_01,C,1,179.2,1200,AMMT,IN625
amb2018_02_ammt_trace_02,C,2,179.2,1200,AMMT,IN625
amb2018_02_ammt_trace_03,C,3,179.2,1200,AMMT,IN625
amb2018_02_ammt_trace_04,C,4,179.2,1200,AMMT,IN625
amb2018_02_ammt_trace_05,A,5,137.9,400,AMMT,IN625
amb2018_02_ammt_trace_06,A,6,137.9,400,AMMT,IN625
amb2018_02_ammt_trace_07,A,7,137.9,400,AMMT,IN625
amb2018_02_ammt_trace_08,B,8,179.2,800,AMMT,IN625
amb2018_02_ammt_trace_09,B,9,179.2,800,AMMT,IN625
amb2018_02_ammt_trace_10,B,10,179.2,800,AMMT,IN625
