sample_id,case_id,trace_number,material,machine,commanded_laser_power_w,calibrated_laser_power_w,scan_speed_mm_s,legacy_reported_spot_size_fwhm_um,corrected_spot_size_fwhm_um,melt_pool_width_mean_um,melt_pool_width_std_dev_um,melt_pool_depth_mean_um,melt_pool_depth_std_dev_um
amb2018_02_trace_01,C,1,IN625,NIST_AMMT,195.000,179.200,1200.000,45.000,100.000,104.400,0.187,29.000,0.081
amb2018_02_trace_02,C,2,IN625,NIST_AMMT,195.000,179.200,1200.000,45.000,100.000,107.700,0.187,29.200,0.041
amb2018_02_trace_03,C,3,IN625,NIST_AMMT,195.000,179.200,1200.000,45.000,100.000,106.600,0.071,30.000,0.000
amb2018_02_trace_04,C,4,IN625,NIST_AMMT,195.000,179.200,1200.000,45.000,100.000,105.400,0.216,30.200,0.148
amb2018_02_trace_05,A,5,IN625,NIST_AMMT,150.000,137.900,400.000,45.000,100.000,144.000,0.320,44.400,0.122
amb2018_02_trace_06,A,6,IN625,NIST_AMMT,150.000,137.900,400.000,45.000,100.000,151.300,0.071,41.000,0.187
amb2018_02_trace_07,A,7,IN625,NIST_AMMT,150.000,137.900,400.000,45.000,100.000,148.500,0.357,42.100,0.108
amb2018_02_trace_08,B,8,IN625,NIST_AMMT,195.000,179.200,800.000,45.000,100.000,116.400,0.187,38.200,0.179
amb2018_02_trace_09,B,9,IN625,NIST_AMMT,195.000,179.200,800.000,45.000,100.000,129.100,0.142,34.800,0.041
amb2018_02_trace_10,B,10,IN625,NIST_AMMT,195.000,179.200,800.000,45.000,100.000,124.900,0.204,34.900,0.147
