zip_file,internal_csv_path,file_name,schema_fingerprint,raw_column_name,normalized_column_name,column_position,sample_inferred_dtype,sample_non_null_count,sample_null_count,sample_values,unit_candidate,mapping_candidate,mapping_confidence,mapping_note
CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,schema_d2669a99bc63,Cycle_Index,cycle_index,1,float64,50,0,"[""1.0"", ""2.0"", ""3.0"", ""4.0"", ""5.0""]",unknown,cycle_index,high,explicit cycle index/name
CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,schema_d2669a99bc63,Start_Time,start_time,2,float64,0,50,[],unknown,date_or_timestamp,high,explicit date/time column
CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,schema_d2669a99bc63,End_Time,end_time,3,float64,0,50,[],unknown,date_or_timestamp,high,explicit date/time column
CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,schema_d2669a99bc63,Test_Time (s),test_time_s,4,float64,50,0,"[""10907.674"", ""28594.592"", ""46275.123"", ""63919.436"", ""81579.524""]",s,elapsed_time,high,explicit elapsed/test time column
CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,schema_d2669a99bc63,Min_Current (A),min_current_a,5,float64,50,0,"[""-0.55"", ""-0.551"", ""-0.552"", ""-0.595"", ""-0.658""]",A,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,schema_d2669a99bc63,Max_Current (A),max_current_a,6,float64,50,0,"[""0.905"", ""1.275"", ""1.293"", ""1.273"", ""1.281""]",A,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,schema_d2669a99bc63,Min_Voltage (V),min_voltage_v,7,float64,50,0,"[""2.699""]",V,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,schema_d2669a99bc63,Max_Voltage (V),max_voltage_v,8,float64,50,0,"[""4.201"", ""4.2"", ""4.212"", ""4.202"", ""4.207""]",V,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,schema_d2669a99bc63,Charge_Capacity (Ah),charge_capacity_ah,9,float64,50,0,"[""0.108"", ""1.268"", ""1.269"", ""1.267"", ""1.266""]",Ah,charge_capacity,high,explicit charge capacity column
CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,schema_d2669a99bc63,Discharge_Capacity (Ah),discharge_capacity_ah,10,float64,50,0,"[""1.268"", ""1.269"", ""1.267"", ""1.266"", ""1.265""]",Ah,discharge_capacity,high,explicit discharge capacity column
