zip_file,internal_csv_path,file_name,file_type,uncompressed_size_bytes,compressed_size_bytes,crc32,filename_stem,cell_id,source,chemistry,form_factor,temperature_C,soc_min_pct,soc_max_pct,soc_window,charge_c_rate,discharge_c_rate,protocol_label,metadata_parse_status,metadata_parse_message
CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,cycle_data,135604,40779,9cd4aab0,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a,CALCE_CX2-16,CALCE,LCO,prism,25.0,0.0,100.0,0-100,0.5,0.5,LCO|prism|25C|0-100|0.5-0.5C,parsed,
CALCE.zip,CALCE/CALCE_CX2-25_prism_LCO_25C_0-100_0.5-0.5C_b_cycle_data.csv,CALCE_CX2-25_prism_LCO_25C_0-100_0.5-0.5C_b_cycle_data.csv,cycle_data,123095,36822,2dca039c,CALCE_CX2-25_prism_LCO_25C_0-100_0.5-0.5C_b,CALCE_CX2-25,CALCE,LCO,prism,25.0,0.0,100.0,0-100,0.5,0.5,LCO|prism|25C|0-100|0.5-0.5C,parsed,
CALCE.zip,CALCE/CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,cycle_data,114611,34200,5208a6ba,CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d,CALCE_CX2-33,CALCE,LCO,prism,25.0,0.0,100.0,0-100,0.5,0.5,LCO|prism|25C|0-100|0.5-0.5C,parsed,
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,cycle_data,118229,34840,786450aa,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e,CALCE_CX2-34,CALCE,LCO,prism,25.0,0.0,100.0,0-100,0.5,0.5,LCO|prism|25C|0-100|0.5-0.5C,parsed,
CALCE.zip,CALCE/CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,cycle_data,134763,40313,7afb06a7,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f,CALCE_CX2-36,CALCE,LCO,prism,25.0,0.0,100.0,0-100,0.5,0.5,LCO|prism|25C|0-100|0.5-0.5C,parsed,
CALCE.zip,CALCE/CALCE_CX2-37_prism_LCO_25C_0-100_0.5-0.5C_g_cycle_data.csv,CALCE_CX2-37_prism_LCO_25C_0-100_0.5-0.5C_g_cycle_data.csv,cycle_data,86446,25589,fd26a418,CALCE_CX2-37_prism_LCO_25C_0-100_0.5-0.5C_g,CALCE_CX2-37,CALCE,LCO,prism,25.0,0.0,100.0,0-100,0.5,0.5,LCO|prism|25C|0-100|0.5-0.5C,parsed,
CALCE.zip,CALCE/CALCE_CX2-38_prism_LCO_25C_0-100_0.5-0.5C_h_cycle_data.csv,CALCE_CX2-38_prism_LCO_25C_0-100_0.5-0.5C_h_cycle_data.csv,cycle_data,132266,39409,6f6ef929,CALCE_CX2-38_prism_LCO_25C_0-100_0.5-0.5C_h,CALCE_CX2-38,CALCE,LCO,prism,25.0,0.0,100.0,0-100,0.5,0.5,LCO|prism|25C|0-100|0.5-0.5C,parsed,
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a_cycle_data.csv,cycle_data,75539,21330,d114d78b,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b_cycle_data.csv,cycle_data,74664,21529,d2c20722,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c_cycle_data.csv,cycle_data,73919,21564,e97a5f5d,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c,unknown,HNEI,NMC_LCO,18650,25.0,0.0,100.0,0-100,0.5,1.5,NMC_LCO|18650|25C|0-100|0.5-1.5C,partially_parsed,missing fields: cell_id
