zip_file,internal_csv_path,file_name,schema_fingerprint,column_count,raw_columns,normalized_columns,sample_row_count,encoding_used,delimiter_used,empty_file,read_status,read_message
CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,schema_d2669a99bc63,12,"[""Cycle_Index"", ""Start_Time"", ""End_Time"", ""Test_Time (s)"", ""Min_Current (A)"", ""Max_Current (A)"", ""Min_Voltage (V)"", ""Max_Voltage (V)"", ""Charge_Capacity (Ah)"", ""Discharge_Capacity (Ah)"", ""Charge_Energy (Wh)"", ""Discharge_Energy (Wh)""]","[""cycle_index"", ""start_time"", ""end_time"", ""test_time_s"", ""min_current_a"", ""max_current_a"", ""min_voltage_v"", ""max_voltage_v"", ""charge_capacity_ah"", ""discharge_capacity_ah"", ""charge_energy_wh"", ""discharge_energy_wh""]",50,utf-8-sig,",",False,success,
CALCE.zip,CALCE/CALCE_CX2-25_prism_LCO_25C_0-100_0.5-0.5C_b_cycle_data.csv,CALCE_CX2-25_prism_LCO_25C_0-100_0.5-0.5C_b_cycle_data.csv,schema_d2669a99bc63,12,"[""Cycle_Index"", ""Start_Time"", ""End_Time"", ""Test_Time (s)"", ""Min_Current (A)"", ""Max_Current (A)"", ""Min_Voltage (V)"", ""Max_Voltage (V)"", ""Charge_Capacity (Ah)"", ""Discharge_Capacity (Ah)"", ""Charge_Energy (Wh)"", ""Discharge_Energy (Wh)""]","[""cycle_index"", ""start_time"", ""end_time"", ""test_time_s"", ""min_current_a"", ""max_current_a"", ""min_voltage_v"", ""max_voltage_v"", ""charge_capacity_ah"", ""discharge_capacity_ah"", ""charge_energy_wh"", ""discharge_energy_wh""]",50,utf-8-sig,",",False,success,
CALCE.zip,CALCE/CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,schema_d2669a99bc63,12,"[""Cycle_Index"", ""Start_Time"", ""End_Time"", ""Test_Time (s)"", ""Min_Current (A)"", ""Max_Current (A)"", ""Min_Voltage (V)"", ""Max_Voltage (V)"", ""Charge_Capacity (Ah)"", ""Discharge_Capacity (Ah)"", ""Charge_Energy (Wh)"", ""Discharge_Energy (Wh)""]","[""cycle_index"", ""start_time"", ""end_time"", ""test_time_s"", ""min_current_a"", ""max_current_a"", ""min_voltage_v"", ""max_voltage_v"", ""charge_capacity_ah"", ""discharge_capacity_ah"", ""charge_energy_wh"", ""discharge_energy_wh""]",50,utf-8-sig,",",False,success,
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,12,"[""Cycle_Index"", ""Start_Time"", ""End_Time"", ""Test_Time (s)"", ""Min_Current (A)"", ""Max_Current (A)"", ""Min_Voltage (V)"", ""Max_Voltage (V)"", ""Charge_Capacity (Ah)"", ""Discharge_Capacity (Ah)"", ""Charge_Energy (Wh)"", ""Discharge_Energy (Wh)""]","[""cycle_index"", ""start_time"", ""end_time"", ""test_time_s"", ""min_current_a"", ""max_current_a"", ""min_voltage_v"", ""max_voltage_v"", ""charge_capacity_ah"", ""discharge_capacity_ah"", ""charge_energy_wh"", ""discharge_energy_wh""]",50,utf-8-sig,",",False,success,
CALCE.zip,CALCE/CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,schema_d2669a99bc63,12,"[""Cycle_Index"", ""Start_Time"", ""End_Time"", ""Test_Time (s)"", ""Min_Current (A)"", ""Max_Current (A)"", ""Min_Voltage (V)"", ""Max_Voltage (V)"", ""Charge_Capacity (Ah)"", ""Discharge_Capacity (Ah)"", ""Charge_Energy (Wh)"", ""Discharge_Energy (Wh)""]","[""cycle_index"", ""start_time"", ""end_time"", ""test_time_s"", ""min_current_a"", ""max_current_a"", ""min_voltage_v"", ""max_voltage_v"", ""charge_capacity_ah"", ""discharge_capacity_ah"", ""charge_energy_wh"", ""discharge_energy_wh""]",50,utf-8-sig,",",False,success,
CALCE.zip,CALCE/CALCE_CX2-37_prism_LCO_25C_0-100_0.5-0.5C_g_cycle_data.csv,CALCE_CX2-37_prism_LCO_25C_0-100_0.5-0.5C_g_cycle_data.csv,schema_d2669a99bc63,12,"[""Cycle_Index"", ""Start_Time"", ""End_Time"", ""Test_Time (s)"", ""Min_Current (A)"", ""Max_Current (A)"", ""Min_Voltage (V)"", ""Max_Voltage (V)"", ""Charge_Capacity (Ah)"", ""Discharge_Capacity (Ah)"", ""Charge_Energy (Wh)"", ""Discharge_Energy (Wh)""]","[""cycle_index"", ""start_time"", ""end_time"", ""test_time_s"", ""min_current_a"", ""max_current_a"", ""min_voltage_v"", ""max_voltage_v"", ""charge_capacity_ah"", ""discharge_capacity_ah"", ""charge_energy_wh"", ""discharge_energy_wh""]",50,utf-8-sig,",",False,success,
CALCE.zip,CALCE/CALCE_CX2-38_prism_LCO_25C_0-100_0.5-0.5C_h_cycle_data.csv,CALCE_CX2-38_prism_LCO_25C_0-100_0.5-0.5C_h_cycle_data.csv,schema_d2669a99bc63,12,"[""Cycle_Index"", ""Start_Time"", ""End_Time"", ""Test_Time (s)"", ""Min_Current (A)"", ""Max_Current (A)"", ""Min_Voltage (V)"", ""Max_Voltage (V)"", ""Charge_Capacity (Ah)"", ""Discharge_Capacity (Ah)"", ""Charge_Energy (Wh)"", ""Discharge_Energy (Wh)""]","[""cycle_index"", ""start_time"", ""end_time"", ""test_time_s"", ""min_current_a"", ""max_current_a"", ""min_voltage_v"", ""max_voltage_v"", ""charge_capacity_ah"", ""discharge_capacity_ah"", ""charge_energy_wh"", ""discharge_energy_wh""]",50,utf-8-sig,",",False,success,
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a_cycle_data.csv,schema_d2669a99bc63,12,"[""Cycle_Index"", ""Start_Time"", ""End_Time"", ""Test_Time (s)"", ""Min_Current (A)"", ""Max_Current (A)"", ""Min_Voltage (V)"", ""Max_Voltage (V)"", ""Charge_Capacity (Ah)"", ""Discharge_Capacity (Ah)"", ""Charge_Energy (Wh)"", ""Discharge_Energy (Wh)""]","[""cycle_index"", ""start_time"", ""end_time"", ""test_time_s"", ""min_current_a"", ""max_current_a"", ""min_voltage_v"", ""max_voltage_v"", ""charge_capacity_ah"", ""discharge_capacity_ah"", ""charge_energy_wh"", ""discharge_energy_wh""]",50,utf-8-sig,",",False,success,
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b_cycle_data.csv,schema_d2669a99bc63,12,"[""Cycle_Index"", ""Start_Time"", ""End_Time"", ""Test_Time (s)"", ""Min_Current (A)"", ""Max_Current (A)"", ""Min_Voltage (V)"", ""Max_Voltage (V)"", ""Charge_Capacity (Ah)"", ""Discharge_Capacity (Ah)"", ""Charge_Energy (Wh)"", ""Discharge_Energy (Wh)""]","[""cycle_index"", ""start_time"", ""end_time"", ""test_time_s"", ""min_current_a"", ""max_current_a"", ""min_voltage_v"", ""max_voltage_v"", ""charge_capacity_ah"", ""discharge_capacity_ah"", ""charge_energy_wh"", ""discharge_energy_wh""]",50,utf-8-sig,",",False,success,
HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c_cycle_data.csv,schema_d2669a99bc63,12,"[""Cycle_Index"", ""Start_Time"", ""End_Time"", ""Test_Time (s)"", ""Min_Current (A)"", ""Max_Current (A)"", ""Min_Voltage (V)"", ""Max_Voltage (V)"", ""Charge_Capacity (Ah)"", ""Discharge_Capacity (Ah)"", ""Charge_Energy (Wh)"", ""Discharge_Energy (Wh)""]","[""cycle_index"", ""start_time"", ""end_time"", ""test_time_s"", ""min_current_a"", ""max_current_a"", ""min_voltage_v"", ""max_voltage_v"", ""charge_capacity_ah"", ""discharge_capacity_ah"", ""charge_energy_wh"", ""discharge_energy_wh""]",50,utf-8-sig,",",False,success,
