cycle_series_id,zip_file,internal_csv_path,file_name,source,cell_id,chemistry,form_factor,temperature_C,soc_window,charge_c_rate,discharge_c_rate,capacity_unit,total_rows,valid_cycle_rows,warning_rows,invalid_rows,min_cycle_index,max_cycle_index,baseline_capacity,baseline_cycle_count,baseline_method,baseline_status,initial_retention_pct,final_retention_pct,min_retention_pct,first_cycle_below_80pct,persistent_cycle_below_80pct,first_cycle_below_70pct,persistent_cycle_below_70pct,reached_80pct_threshold,reached_70pct_threshold,observed_censored_80pct,observed_censored_70pct,has_duplicate_cycle_index,has_nonmonotonic_cycle_index,mixed_capacity_unit,data_quality_status,data_quality_message
ba_6d34b56fe5e1,CALCE.zip,CALCE/CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_cycle_data.csv,CALCE,CALCE_CX2-16,LCO,prism,25.0,0-100,0.5,0.5,Ah,2016,2007,9,0,1.0,2016.0,1.269,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,99.92119779353823,65.24822695035462,0.0,97.0,1125.0,97.0,1817.0,True,True,False,False,False,False,False,has_warnings,9 warning rows;80pct threshold reached
ba_334170583484,CALCE.zip,CALCE/CALCE_CX2-25_prism_LCO_25C_0-100_0.5-0.5C_b_cycle_data.csv,CALCE_CX2-25_prism_LCO_25C_0-100_0.5-0.5C_b_cycle_data.csv,CALCE,CALCE_CX2-25,LCO,prism,25.0,0-100,0.5,0.5,Ah,1815,1805,10,0,1.0,1815.0,1.364,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,99.9266862170088,40.68914956011731,0.0,86.0,794.0,86.0,1440.0,True,True,False,False,False,False,False,has_warnings,10 warning rows;80pct threshold reached
ba_12225b471394,CALCE.zip,CALCE/CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_cycle_data.csv,CALCE,CALCE_CX2-33,LCO,prism,25.0,0-100,0.5,0.5,Ah,1701,1688,13,0,1.0,1701.0,1.292,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.0,43.343653250774,0.0,22.0,830.0,22.0,1358.0,True,True,False,False,False,False,False,has_warnings,13 warning rows;80pct threshold reached
ba_f85d608bad8e,CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE,CALCE_CX2-34,LCO,prism,25.0,0-100,0.5,0.5,Ah,1735,1726,9,0,1.0,1735.0,1.354,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.0,41.28508124076809,0.0,92.0,657.0,92.0,1010.0,True,True,False,False,False,False,False,has_warnings,9 warning rows;80pct threshold reached
ba_6e3fa5c1e182,CALCE.zip,CALCE/CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE,CALCE_CX2-36,LCO,prism,25.0,0-100,0.5,0.5,Ah,1971,1961,10,0,1.0,1971.0,1.359,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,99.70566593083149,39.80868285504047,0.0,95.0,605.0,95.0,976.0,True,True,False,False,False,False,False,has_warnings,10 warning rows;80pct threshold reached
ba_6846490e9cd9,CALCE.zip,CALCE/CALCE_CX2-37_prism_LCO_25C_0-100_0.5-0.5C_g_cycle_data.csv,CALCE_CX2-37_prism_LCO_25C_0-100_0.5-0.5C_g_cycle_data.csv,CALCE,CALCE_CX2-37,LCO,prism,25.0,0-100,0.5,0.5,Ah,1281,1275,6,0,1.0,1281.0,1.364,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.1466275659824,60.190615835777116,0.0,71.0,689.0,95.0,1025.0,True,True,False,False,False,False,False,has_warnings,6 warning rows;80pct threshold reached
ba_94fa57a51266,CALCE.zip,CALCE/CALCE_CX2-38_prism_LCO_25C_0-100_0.5-0.5C_h_cycle_data.csv,CALCE_CX2-38_prism_LCO_25C_0-100_0.5-0.5C_h_cycle_data.csv,CALCE,CALCE_CX2-38,LCO,prism,25.0,0-100,0.5,0.5,Ah,1961,1952,9,0,1.0,1961.0,1.361,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.07347538574578,24.76120499632623,0.0,94.0,665.0,94.0,941.0,True,True,False,False,False,False,False,has_warnings,9 warning rows;80pct threshold reached
ba_ff84834f64a2,HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a_cycle_data.csv,HNEI,unknown,NMC_LCO,18650,25.0,0-100,0.5,1.5,Ah,1101,1082,19,0,1.0,1113.0,2.869,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,35.169048448936906,75.46183339142559,0.0,1.0,241.0,1.0,369.0,True,True,False,False,False,False,False,has_warnings,19 warning rows;80pct threshold reached
ba_abae48c3f923,HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b_cycle_data.csv,HNEI,unknown,NMC_LCO,18650,25.0,0-100,0.5,1.5,Ah,1104,1084,20,0,1.0,1108.0,2.857,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,35.42177108855443,73.57367868393419,0.0,1.0,197.0,1.0,364.0,True,True,False,False,False,False,False,has_warnings,20 warning rows;80pct threshold reached
ba_b65edf6cf1ce,HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c_cycle_data.csv,HNEI,unknown,NMC_LCO,18650,25.0,0-100,0.5,1.5,Ah,1103,1084,19,0,1.0,1108.0,2.839,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,35.082775625220144,74.18104966537513,0.0,1.0,245.0,1.0,364.0,True,True,False,False,False,False,False,has_warnings,19 warning rows;80pct threshold reached
ba_16796b2c96b1,HNEI.zip,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d_cycle_data.csv,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d_cycle_data.csv,HNEI,unknown,NMC_LCO,18650,25.0,0-100,0.5,1.5,Ah,1105,1085,20,0,1.0,1108.0,2.834,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,35.250529287226534,74.27664079040225,0.0,1.0,249.0,1.0,364.0,True,True,False,False,False,False,False,has_warnings,20 warning rows;80pct threshold reached
