source,chemistry,form_factor,temperature_C,soc_window,charge_c_rate,discharge_c_rate,series_count,small_group_flag,median_last_observed_cycle,max_last_observed_cycle,median_final_retention_pct,median_min_retention_pct,reached_80pct_count,reached_80pct_rate,reached_70pct_count,reached_70pct_rate,observed_censored_80pct_count,observed_censored_70pct_count,median_persistent_cycle_below_80pct,median_persistent_cycle_below_70pct,warning_series_count,warning_series_rate,invalid_series_count,analysis_candidate_series_count,group_quality_message
CALCE,LCO,prism,25.0,0-100,0.5,0.5,7,False,1815.0,2016.0,41.28508124076809,0.0,7,100.0,7,100.0,0,0,689.0,1025.0,7,100.0,0,0,7 series with warnings
HNEI,NMC_LCO,18650,25.0,0-100,0.5,1.5,15,False,1108.0,1134.0,74.27664079040225,0.0,15,100.0,15,100.0,0,0,237.0,364.0,15,100.0,0,0,15 series with warnings
Michigan Expansion,NMC,pouch,-5.0,0-100,0.2,0.2,1,True,293.0,293.0,0.0,0.0,1,100.0,1,100.0,0,0,,,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
Michigan Expansion,NMC,pouch,-5.0,0-100,0.2,1.5,1,True,540.0,540.0,73.52779306549257,0.0,1,100.0,1,100.0,0,0,326.0,,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
Michigan Expansion,NMC,pouch,-5.0,0-100,1.5,1.5,1,True,573.0,573.0,25.968357883251496,25.80469176213857,1,100.0,1,100.0,0,0,288.0,370.0,0,0.0,0,1,small group; interpret cautiously
Michigan Expansion,NMC,pouch,-5.0,0-100,2.0,2.0,1,True,573.0,573.0,37.68494342906875,37.68494342906875,1,100.0,1,100.0,0,0,213.0,352.0,0,0.0,0,1,small group; interpret cautiously
Michigan Expansion,NMC,pouch,-5.0,50-100,0.2,0.2,1,True,452.0,452.0,84.14731785428341,0.0,1,100.0,1,100.0,0,0,,,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
Michigan Expansion,NMC,pouch,-5.0,50-100,0.2,1.5,1,True,557.0,557.0,100.0,0.0,1,100.0,1,100.0,0,0,,,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
Michigan Expansion,NMC,pouch,25.0,0-100,0.2,0.2,1,True,379.0,379.0,70.74774034511093,0.0,1,100.0,1,100.0,0,0,299.0,,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
Michigan Expansion,NMC,pouch,25.0,0-100,0.2,1.5,1,True,439.0,439.0,75.82781456953643,0.0,1,100.0,1,100.0,0,0,390.0,,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
Michigan Expansion,NMC,pouch,25.0,0-100,1.5,1.5,1,True,327.0,327.0,64.78354978354977,64.78354978354977,1,100.0,1,100.0,0,0,227.0,295.0,0,0.0,0,1,small group; interpret cautiously
Michigan Expansion,NMC,pouch,25.0,0-100,2.0,2.0,1,True,245.0,245.0,58.2824760244115,58.2824760244115,1,100.0,1,100.0,0,0,152.0,199.0,0,0.0,0,1,small group; interpret cautiously
Michigan Expansion,NMC,pouch,25.0,50-100,0.2,0.2,1,True,532.0,532.0,100.0,100.0,0,0.0,0,0.0,1,1,,,0,0.0,0,1,small group; interpret cautiously; 1 censored at 80pct
Michigan Expansion,NMC,pouch,25.0,50-100,0.2,1.5,1,True,532.0,532.0,100.0,100.0,0,0.0,0,0.0,1,1,,,0,0.0,0,1,small group; interpret cautiously; 1 censored at 80pct
Michigan Expansion,NMC,pouch,45.0,0-100,0.2,0.2,1,True,103.0,103.0,69.64359718193121,0.0,1,100.0,1,100.0,0,0,,,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
Michigan Expansion,NMC,pouch,45.0,0-100,0.2,1.5,1,True,182.0,182.0,0.0,0.0,1,100.0,1,100.0,0,0,136.0,180.0,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
Michigan Expansion,NMC,pouch,45.0,0-100,1.5,1.5,1,True,177.0,177.0,76.94386694386695,76.94386694386695,1,100.0,0,0.0,0,1,157.0,,0,0.0,0,1,small group; interpret cautiously
Michigan Expansion,NMC,pouch,45.0,0-100,2.0,2.0,1,True,175.0,175.0,63.18428750522358,63.18428750522358,1,100.0,1,100.0,0,0,120.0,154.0,0,0.0,0,1,small group; interpret cautiously
Michigan Expansion,NMC,pouch,45.0,50-100,0.2,0.2,1,True,171.0,171.0,0.0,0.0,1,100.0,1,100.0,0,0,,,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
Michigan Expansion,NMC,pouch,45.0,50-100,0.2,1.5,1,True,295.0,295.0,99.83929288871032,0.0,1,100.0,1,100.0,0,0,,,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
Michigan Formation,NMC,pouch,25.0,0-100,1.0,1.0,21,False,506.0,629.0,0.0,0.0,21,100.0,21,100.0,0,0,329.0,377.0,11,52.381,0,10,11 series with warnings
Michigan Formation,NMC,pouch,45.0,0-100,1.0,1.0,19,False,531.0,641.0,0.0,0.0,19,100.0,19,100.0,0,0,354.0,427.0,11,57.8947,0,8,11 series with warnings
Oxford,LCO,pouch,40.0,0-100,2.0,1.84,8,False,7900.0,8200.0,78.28895879987292,78.21883257266396,5,62.5,2,25.0,3,6,6800.0,,0,0.0,0,8,3 censored at 80pct
SNL LFP,LFP,18650,15.0,0-100,0.5,1.0,2,True,4052.0,4551.0,0.0,0.0,2,100.0,2,100.0,0,0,2620.0,2620.0,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL LFP,LFP,18650,15.0,0-100,0.5,2.0,2,True,3757.5,3761.0,0.0,0.0,2,100.0,2,100.0,0,0,,,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL LFP,LFP,18650,25.0,0-100,0.5,0.5,1,True,3050.0,3050.0,0.0,0.0,1,100.0,1,100.0,0,0,,,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
SNL LFP,LFP,18650,25.0,0-100,0.5,1.0,4,False,3291.5,3636.0,0.0,0.0,4,100.0,4,100.0,0,0,2622.5,2622.5,4,100.0,0,0,4 series with warnings
SNL LFP,LFP,18650,25.0,0-100,0.5,2.0,2,True,3797.0,4050.0,0.0,0.0,2,100.0,2,100.0,0,0,,,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL LFP,LFP,18650,25.0,0-100,0.5,3.0,4,False,4062.0,4569.0,0.0,0.0,4,100.0,4,100.0,0,0,3476.5,,4,100.0,0,0,4 series with warnings
SNL LFP,LFP,18650,25.0,20-80,0.5,0.5,4,False,6983.5,8396.0,0.0,0.0,4,100.0,4,100.0,0,0,5.0,5.0,4,100.0,0,0,4 series with warnings
SNL LFP,LFP,18650,25.0,20-80,0.5,3.0,1,True,2959.0,2959.0,0.0,0.0,1,100.0,1,100.0,0,0,5.0,5.0,1,100.0,0,0,small group; interpret cautiously; 1 series with warnings
SNL LFP,LFP,18650,25.0,40-60,0.5,0.5,2,True,18670.5,19175.0,0.0,0.0,2,100.0,2,100.0,0,0,4.0,4.0,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL LFP,LFP,18650,25.0,40-60,0.5,3.0,2,True,12124.5,12628.0,0.0,0.0,2,100.0,2,100.0,0,0,4.0,4.0,2,100.0,0,0,small group; interpret cautiously; 2 series with warnings
SNL LFP,LFP,18650,35.0,0-100,0.5,1.0,4,False,3342.0,3798.0,0.0,0.0,4,100.0,4,100.0,0,0,,,4,100.0,0,0,4 series with warnings
