finding_category,stability_status,event_count,trajectory_count,minimum_policy_support_ratio,median_policy_support_ratio,maximum_policy_support_ratio,mechanism_interpretation
missing_cycle_gap,stable_across_policies,27,13,1.0,1.0,1.0,prohibited
non_monotonic_increase_candidate,stable_across_policies,39,23,1.0,1.0,1.0,prohibited
non_monotonic_increase_candidate,stable_with_restrictions,11,7,0.6666666666666666,0.8888888888888888,0.8888888888888888,prohibited
non_monotonic_increase_candidate,policy_sensitive,7,3,0.2222222222222222,0.2222222222222222,0.2222222222222222,prohibited
non_monotonic_increase_candidate,insufficient_support,28,18,0.1111111111111111,0.1111111111111111,0.1111111111111111,prohibited
abrupt_capacity_drop_candidate,stable_across_policies,18,13,1.0,1.0,1.0,prohibited
abrupt_capacity_drop_candidate,stable_with_restrictions,7,4,0.8888888888888888,0.8888888888888888,0.8888888888888888,prohibited
abrupt_capacity_drop_candidate,policy_sensitive,2,2,0.2222222222222222,0.2222222222222222,0.2222222222222222,prohibited
abrupt_capacity_drop_candidate,insufficient_support,9,7,0.1111111111111111,0.1111111111111111,0.1111111111111111,prohibited
abrupt_capacity_rise_candidate,stable_across_policies,39,23,1.0,1.0,1.0,prohibited
abrupt_capacity_rise_candidate,stable_with_restrictions,11,7,0.6666666666666666,0.8888888888888888,0.8888888888888888,prohibited
abrupt_capacity_rise_candidate,policy_sensitive,7,3,0.2222222222222222,0.2222222222222222,0.2222222222222222,prohibited
abrupt_capacity_rise_candidate,insufficient_support,28,18,0.1111111111111111,0.1111111111111111,0.1111111111111111,prohibited
plateau_candidate,stable_across_policies,15,8,1.0,1.0,1.0,prohibited
plateau_candidate,stable_with_restrictions,28,13,0.6666666666666666,0.7777777777777778,0.8888888888888888,prohibited
plateau_candidate,policy_sensitive,25,14,0.2222222222222222,0.2222222222222222,0.3333333333333333,prohibited
plateau_candidate,insufficient_support,50,18,0.1111111111111111,0.1111111111111111,0.1111111111111111,prohibited
accelerated_fade_candidate,stable_across_policies,30,23,1.0,1.0,1.0,prohibited
accelerated_fade_candidate,stable_with_restrictions,15,12,0.7777777777777778,0.8888888888888888,0.8888888888888888,prohibited
accelerated_fade_candidate,policy_sensitive,5,5,0.2222222222222222,0.2222222222222222,0.2222222222222222,prohibited
accelerated_fade_candidate,insufficient_support,7,7,0.1111111111111111,0.1111111111111111,0.1111111111111111,prohibited
decelerated_fade_candidate,stable_across_policies,25,23,1.0,1.0,1.0,prohibited
decelerated_fade_candidate,stable_with_restrictions,13,9,0.7777777777777778,0.8888888888888888,0.8888888888888888,prohibited
decelerated_fade_candidate,policy_sensitive,4,4,0.2222222222222222,0.2222222222222222,0.3333333333333333,prohibited
decelerated_fade_candidate,insufficient_support,8,8,0.1111111111111111,0.1111111111111111,0.1111111111111111,prohibited
high_variability_candidate,stable_across_policies,7,7,1.0,1.0,1.0,prohibited
high_variability_candidate,stable_with_restrictions,6,6,0.8888888888888888,0.8888888888888888,0.8888888888888888,prohibited
terminal_low_retention_observation,stable_across_policies,11,11,1.0,1.0,1.0,prohibited
terminal_low_retention_observation,stable_with_restrictions,6,6,0.8888888888888888,0.8888888888888888,0.8888888888888888,prohibited
terminal_low_retention_observation,insufficient_support,1,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,prohibited
