representation,entity_id,current_maturity_level,requested_maturity_level,promotion_allowed,resulting_maturity_level,blocked_reason
observation,battery_obs_B0005_00001,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
observation,battery_obs_B0005_00002,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
observation,battery_obs_B0005_00003,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
observation,battery_obs_B0005_00004,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
observation,battery_obs_B0005_00005,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
observation,battery_obs_B0005_00006,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
observation,battery_obs_B0005_00007,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
observation,battery_obs_B0005_00008,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
observation,battery_obs_B0005_00009,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
observation,battery_obs_B0005_00010,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
state,battery_state_B0005_00001,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
state,battery_state_B0005_00002,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
state,battery_state_B0005_00003,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
state,battery_state_B0005_00004,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
state,battery_state_B0005_00005,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
state,battery_state_B0005_00006,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
state,battery_state_B0005_00007,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
state,battery_state_B0005_00008,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
state,battery_state_B0005_00009,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
state,battery_state_B0005_00010,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
trajectory,battery_trajectory_B0005,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
trajectory,battery_trajectory_B0006,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
trajectory,battery_trajectory_B0007,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
trajectory,battery_trajectory_B0018,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
trajectory,battery_trajectory_B0025,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
trajectory,battery_trajectory_B0026,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
trajectory,battery_trajectory_B0027,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
trajectory,battery_trajectory_B0028,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
trajectory,battery_trajectory_B0029,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
trajectory,battery_trajectory_B0030,dimensionally_valid,mechanism_compatible,False,dimensionally_valid,applicability_evaluated;mechanism_requirements_metadata
