column_name,column_role,descriptor_family,elemental_property,aggregation,formula_or_definition,property_source,property_definition,unit,dtype,non_null_count,null_count,null_percentage,finite_count,unique_count,minimum,median,maximum,variance,constant,near_constant,primary_feature,forbidden_feature,evaluation_only,physical_rationale,interpretation_limit,coverage_status,quality_note
material_id,identifier,metadata,,,Derived from parsed composition or metadata.,derived,,unitless,str,838,0,0.0,,838,,,,,False,False,False,True,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,Not a primary feature.
formula_pretty,display_metadata,metadata,,,Derived from parsed composition or metadata.,derived,,unitless,str,838,0,0.0,,548,,,,,False,False,False,True,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,Not a primary feature.
composition_parse_status,quality_metadata,quality,,,Derived from parsed composition or metadata.,derived,,unitless,str,838,0,0.0,,1,,,,,True,True,False,False,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,
composition_parse_source,quality_metadata,quality,,,Derived from parsed composition or metadata.,derived,,unitless,str,838,0,0.0,,1,,,,,True,True,False,False,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,
reduced_formula_group,grouping_metadata,composition_group,,,Derived from parsed composition or metadata.,derived,,unitless,str,838,0,0.0,,548,,,,,False,False,False,False,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,
chemical_system_group,grouping_metadata,composition_group,,,Derived from parsed composition or metadata.,derived,,unitless,str,838,0,0.0,,167,,,,,False,False,False,False,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,
derived_element_count,quality_metadata,composition_parse_quality,,,Derived from parsed composition or metadata.,derived,,unitless,int64,838,0,0.0,838,4,2.0,4.0,5.0,0.4968643377515507,False,False,False,False,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,
fraction_sum,quality_metadata,composition_parse_quality,,,Derived from parsed composition or metadata.,derived,,unitless,float64,838,0,0.0,838,3,0.9999999999999999,1.0,1.0000000000000002,8.82526370697731e-34,False,False,False,False,False,Metadata or audit field.,"Use for grouping, quality audit, or interpretation only.",complete,
composition_element_count,primary_descriptor,stoichiometric,,,Derived from parsed composition or metadata.,derived,,unitless,int64,838,0,0.0,838,4,2.0,4.0,5.0,0.4968643377515507,False,False,True,False,False,Captures composition balance and concentration spread.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
composition_fraction_min,primary_descriptor,stoichiometric,,,Derived from parsed composition or metadata.,derived,,unitless,float64,838,0,0.0,838,93,0.01,0.125,0.5,0.006201316644416181,False,False,True,False,False,Captures composition balance and concentration spread.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
composition_fraction_max,primary_descriptor,stoichiometric,,,Derived from parsed composition or metadata.,derived,,unitless,float64,838,0,0.0,838,82,0.25,0.5714285714285714,0.875,0.01054429857960424,False,False,True,False,False,Captures composition balance and concentration spread.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
composition_fraction_range,primary_descriptor,stoichiometric,,,Derived from parsed composition or metadata.,derived,,unitless,float64,838,0,0.0,838,140,0.0,0.44246031746031744,0.8125,0.025509834534351,False,False,True,False,False,Captures composition balance and concentration spread.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
composition_fraction_mean,primary_descriptor,stoichiometric,,,Derived from parsed composition or metadata.,derived,,unitless,float64,838,0,0.0,838,7,0.19999999999999998,0.25,0.5,0.003087203703809185,False,False,True,False,False,Captures composition balance and concentration spread.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
composition_fraction_std,primary_descriptor,stoichiometric,,,Derived from parsed composition or metadata.,derived,,unitless,float64,838,0,0.0,838,229,0.0,0.18557687223952254,0.38301617314271325,0.004137240596403074,False,False,True,False,False,Captures composition balance and concentration spread.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
composition_fraction_entropy,primary_descriptor,stoichiometric,,,-sum(x_i * ln(x_i)) for positive fractions.,derived,,unitless,float64,838,0,0.0,838,239,0.46341355882643,1.0888999753452238,1.5217048658733234,0.023334822674643013,False,False,True,False,False,Captures composition balance and concentration spread.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
composition_fraction_l2_norm,primary_descriptor,stoichiometric,,,Derived from parsed composition or metadata.,derived,,unitless,float64,838,0,0.0,838,210,0.49013709816744133,0.6272991737432794,0.879452954966893,0.0031352038105309007,False,False,True,False,False,Captures composition balance and concentration spread.,"Descriptor is composition-only and does not encode crystal structure, synthesis, or causality.",complete,
