record_type,metric,value,feature_a,feature_b,descriptor_family_a,descriptor_family_b,correlation,duplicate_status,severity,recommendation
feature_pair,exact_duplicate_feature_pair,,composition_fraction_max,composition_dominant_fraction,stoichiometric,stoichiometric,1.0,exact_duplicate,warning,Feature columns are exact duplicates; review preprocessing policy in v1.3.4.
feature_pair,spearman_abs_ge_0.95,,composition_element_count,composition_fraction_mean,stoichiometric,stoichiometric,-0.9884376183706007,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,composition_fraction_max,composition_dominant_fraction,stoichiometric,stoichiometric,1.0,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,composition_fraction_range,composition_fraction_std,stoichiometric,stoichiometric,0.9540481748661649,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_number_weighted_mean,atomic_mass_weighted_mean,elemental_aggregation,elemental_aggregation,0.9983092954628277,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_number_weighted_mean,periodic_row_weighted_mean,elemental_aggregation,elemental_aggregation,0.9894631345577275,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_number_minimum,atomic_mass_minimum,elemental_aggregation,elemental_aggregation,1.0,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_number_maximum,atomic_mass_maximum,elemental_aggregation,elemental_aggregation,0.9999867975612132,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_number_maximum,periodic_row_maximum,elemental_aggregation,elemental_aggregation,0.9504041924375731,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_number_range,atomic_mass_range,elemental_aggregation,elemental_aggregation,0.986212615013505,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_number_weighted_std,pairwise_mismatch_atomic_number,elemental_aggregation,pairwise_mismatch,0.9926584539983346,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_number_weighted_std,atomic_mass_weighted_std,elemental_aggregation,elemental_aggregation,0.9919836958060363,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_number_weighted_std,pairwise_mismatch_atomic_mass,elemental_aggregation,pairwise_mismatch,0.9851226184492682,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,pairwise_mismatch_atomic_number,atomic_mass_weighted_std,pairwise_mismatch,elemental_aggregation,0.9866309939793919,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,pairwise_mismatch_atomic_number,pairwise_mismatch_atomic_mass,pairwise_mismatch,pairwise_mismatch,0.9940668472724422,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_mass_weighted_mean,periodic_row_weighted_mean,elemental_aggregation,elemental_aggregation,0.9871358132206851,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_mass_maximum,periodic_row_maximum,elemental_aggregation,elemental_aggregation,0.9504041924375731,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_mass_weighted_std,pairwise_mismatch_atomic_mass,elemental_aggregation,pairwise_mismatch,0.9885764661243431,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,periodic_row_minimum,mendeleev_number_maximum,elemental_aggregation,elemental_aggregation,-0.9549174723944472,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,periodic_row_minimum,atomic_radius_minimum,elemental_aggregation,elemental_aggregation,0.9585491118048768,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,periodic_group_minimum,periodic_group_range,elemental_aggregation,elemental_aggregation,-0.9918778687826896,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,periodic_group_maximum,electronegativity_maximum,elemental_aggregation,elemental_aggregation,0.9688050824902965,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,periodic_group_maximum,mendeleev_number_maximum,elemental_aggregation,elemental_aggregation,0.9525020926297114,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,electronegativity_weighted_mean,first_ionization_energy_weighted_mean,elemental_aggregation,elemental_aggregation,0.9692083232336919,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,electronegativity_maximum,mendeleev_number_maximum,elemental_aggregation,elemental_aggregation,0.9790043025215704,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,electronegativity_maximum,atomic_radius_minimum,elemental_aggregation,elemental_aggregation,-0.9772597586000851,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,electronegativity_maximum,first_ionization_energy_maximum,elemental_aggregation,elemental_aggregation,0.9710138912228973,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,electronegativity_range,first_ionization_energy_range,elemental_aggregation,elemental_aggregation,0.9811635040409861,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,electronegativity_weighted_std,pairwise_mismatch_electronegativity,elemental_aggregation,pairwise_mismatch,0.9971237545067536,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,electronegativity_weighted_std,first_ionization_energy_weighted_std,elemental_aggregation,elemental_aggregation,0.965058495368444,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,electronegativity_weighted_std,pairwise_mismatch_first_ionization_energy,elemental_aggregation,pairwise_mismatch,0.9665452383245967,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,pairwise_mismatch_electronegativity,first_ionization_energy_weighted_std,pairwise_mismatch,elemental_aggregation,0.964231045645676,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,pairwise_mismatch_electronegativity,pairwise_mismatch_first_ionization_energy,pairwise_mismatch,pairwise_mismatch,0.9702943358882135,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,mendeleev_number_minimum,mendeleev_number_range,elemental_aggregation,elemental_aggregation,-0.9582240725017014,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,mendeleev_number_maximum,atomic_radius_minimum,elemental_aggregation,elemental_aggregation,-0.9984616697337283,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,mendeleev_number_maximum,first_ionization_energy_maximum,elemental_aggregation,elemental_aggregation,0.9630355036971686,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_radius_minimum,first_ionization_energy_maximum,elemental_aggregation,elemental_aggregation,-0.962053312108273,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,atomic_radius_weighted_std,pairwise_mismatch_atomic_radius,elemental_aggregation,pairwise_mismatch,0.9818232954117923,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,first_ionization_energy_weighted_std,pairwise_mismatch_first_ionization_energy,elemental_aggregation,pairwise_mismatch,0.996356517947615,,info,"High correlation is logged for later preprocessing review, not auto-removal."
feature_pair,spearman_abs_ge_0.95,,d_block_fraction,transition_metal_fraction,composition_category_fraction,composition_category_fraction,0.9926393990897404,,info,"High correlation is logged for later preprocessing review, not auto-removal."
metric,primary_feature_count,60,,,,,,,info,Number of primary composition-only descriptor columns.
metric,high_correlation_pair_count,39,,,,,,,info,Spearman absolute correlation >= 0.95 feature pairs.
metric,duplicate_descriptor_vector_rows,400,,,,,,,warning,Rows sharing a descriptor vector with another material.
metric,unique_descriptor_vector_count,548,,,,,,,info,Unique primary descriptor vectors.
