group_type,group_name,row_count,unique_material_id_count,target_min,target_median,target_max,target_variance,target_zero_count,theoretical_false_count,theoretical_true_count,singleton_flag,dominant_group_flag
reduced_formula_group,Al2(FeSi)3,1,1,0.0,0.0,0.0,0.0,1,1,0,True,False
reduced_formula_group,Al2Fe(SiO5)2,1,1,0.1997617869444425,0.1997617869444425,0.1997617869444425,0.0,0,1,0,True,False
reduced_formula_group,Al2Fe3(SiO4)3,1,1,0.0244395584999992,0.0244395584999992,0.0244395584999992,0.0,0,1,0,True,False
reduced_formula_group,Al2Fe3Si4,1,1,0.0100813761449254,0.0100813761449254,0.0100813761449254,0.0,0,1,0,True,False
reduced_formula_group,Al2FeSiO5,1,1,0.5811341779166783,0.5811341779166783,0.5811341779166783,0.0,0,0,1,True,False
reduced_formula_group,Al3Fe2Si,1,1,0.0003526958571393,0.0003526958571393,0.0003526958571393,0.0,0,1,0,True,False
reduced_formula_group,Al3Fe2Si3,1,1,0.0068518115035391,0.0068518115035391,0.0068518115035391,0.0,0,1,0,True,False
reduced_formula_group,Al3FeSi2,2,2,0.00756826283805,0.019250442213049702,0.0309326215880494,0.00013647331494966842,0,1,1,False,False
reduced_formula_group,Al3FeSiBO9,1,1,0.1180647999444453,0.1180647999444453,0.1180647999444453,0.0,0,0,1,True,False
reduced_formula_group,Al4Fe(SiO6)2,1,1,0.0880971261842091,0.0880971261842091,0.0880971261842091,0.0,0,1,0,True,False
reduced_formula_group,Al4Fe13Si2(SbO14)2,1,1,0.2085675489285678,0.2085675489285678,0.2085675489285678,0.0,0,0,1,True,False
reduced_formula_group,Al4Fe2Si5O18,1,1,0.0,0.0,0.0,0.0,1,1,0,True,False
reduced_formula_group,Al53Fe17Si12,1,1,0.0,0.0,0.0,0.0,1,0,1,True,False
reduced_formula_group,Al79(Fe13Si9)2,1,1,0.0001753438826446,0.0001753438826446,0.0001753438826446,0.0,0,0,1,True,False
reduced_formula_group,Al9Fe2(SiO6)4,1,1,0.0362902699679565,0.0362902699679565,0.0362902699679565,0.0,0,0,1,True,False
reduced_formula_group,Al9Fe2Si4HO24,1,1,0.0631393143125134,0.0631393143125134,0.0631393143125134,0.0,0,1,0,True,False
reduced_formula_group,AlFe2Si,1,1,0.0,0.0,0.0,0.0,1,0,1,True,False
reduced_formula_group,AlFe3(SiO4)3,1,1,0.2473345404166682,0.2473345404166682,0.2473345404166682,0.0,0,0,1,True,False
reduced_formula_group,Ba12FeSi3S20,1,1,0.0208507244444424,0.0208507244444424,0.0208507244444424,0.0,0,0,1,True,False
reduced_formula_group,Ba3NbFe3(SiO7)2,1,1,0.0057132639493069,0.0057132639493069,0.0057132639493069,0.0,0,1,0,True,False
reduced_formula_group,Ba3TaFe3(SiO7)2,1,1,0.0,0.0,0.0,0.0,1,1,0,True,False
reduced_formula_group,Ba4Fe12Si8ClO35,1,1,0.0360044772083227,0.0360044772083227,0.0360044772083227,0.0,0,0,1,True,False
