split_strategy,split_index,split_status,invalid_reason,train_row_count,test_row_count,train_formula_group_count,test_formula_group_count,train_chemical_system_group_count,test_chemical_system_group_count,material_id_overlap_count,reduced_formula_overlap_count,chemical_system_overlap_count,descriptor_vector_overlap_count,target_train_min,target_train_median,target_train_max,target_train_variance,target_test_min,target_test_median,target_test_max,target_test_variance,train_theoretical_false_count,train_theoretical_true_count,test_theoretical_false_count,test_theoretical_true_count
random,0,valid,,670,168,452,141,153,74,0,45,60,45,0.0,0.0499224143340795,5.538618802559524,0.19553521734682433,0.0,0.04699399201389015,0.6556137204421768,0.00754909317436588,167,503,37,131
random,1,valid,,670,168,450,138,149,74,0,40,56,40,0.0,0.05028605117559775,5.538618802559524,0.16281399677757025,0.0,0.04243884303571605,4.090949814679487,0.14057544080790677,162,508,42,126
random,2,valid,,670,168,458,131,155,69,0,41,57,41,0.0,0.0513592712580166,5.253856920064102,0.11768142150089121,0.0,0.0395640511547643,5.538618802559524,0.3198293982133529,160,510,44,124
random,3,valid,,670,168,466,139,151,76,0,57,60,57,0.0,0.0470921781473232,5.538618802559524,0.18173704782289293,0.0,0.0534515514460771,3.1207136875000003,0.06467457877461166,164,506,40,128
random,4,valid,,670,168,467,133,144,74,0,52,51,52,0.0,0.04569955644097365,5.538618802559524,0.19457277728264122,0.0,0.056399148531252455,0.8305033915909119,0.012893863479000754,170,500,34,134
random,5,valid,,670,168,452,137,151,76,0,41,60,41,0.0,0.04808615737046025,5.538618802559524,0.1630309428566743,0.0,0.0524551378273807,4.090949814679487,0.13958865419247518,165,505,39,129
random,6,valid,,670,168,450,144,150,77,0,46,60,46,0.0,0.0513592712580166,5.253856920064102,0.11364642228681755,0.0,0.0336482304852503,5.538618802559524,0.3358986591106905,158,512,46,122
random,7,valid,,670,168,456,138,153,68,0,46,54,46,0.0,0.05097651690952435,5.253856920064102,0.12794083319701055,0.0,0.0382586701130951,5.538618802559524,0.2793463192971324,168,502,36,132
random,8,valid,,670,168,459,136,153,69,0,47,55,47,0.0,0.048828017303577956,5.538618802559524,0.17994838479944378,0.0,0.048901150624092546,2.492363353273809,0.07207311551810613,166,504,38,130
random,9,valid,,670,168,463,132,154,68,0,47,55,47,0.0,0.04454715394940305,5.538618802559524,0.1892372457574693,0.0,0.06192705010026775,1.6056496160000044,0.035223325597996416,172,498,32,136
reduced_formula_group,0,valid,,697,141,438,110,143,71,0,0,47,0,0.0,0.048490516410256,5.538618802559524,0.18208001320017625,0.0,0.0503463587797643,2.0888909325666685,0.04028619107303609,164,533,40,101
reduced_formula_group,1,valid,,687,151,438,110,146,72,0,0,51,0,0.0,0.048490516410256,5.538618802559524,0.1827706036721475,0.0,0.0492904470833366,2.0888909325666685,0.047156132601293484,160,527,44,107
reduced_formula_group,2,valid,,704,134,438,110,147,65,0,0,45,0,0.0,0.05003756778645925,5.538618802559524,0.17337251349734045,0.0,0.04242935045833105,3.1207136875000003,0.07924489599087499,159,545,45,89
reduced_formula_group,3,valid,,682,156,438,110,144,65,0,0,42,0,0.0,0.04808615737046025,3.1207136875000003,0.04228255898510408,0.0,0.0523146798660758,5.538618802559524,0.6525243066427371,164,518,40,116
reduced_formula_group,4,valid,,710,128,438,110,148,68,0,0,49,0,0.0,0.05196554784161385,5.538618802559524,0.16662189298751884,0.0,0.03189951091666725,3.1207136875000003,0.11242825258966528,166,544,38,90
reduced_formula_group,5,valid,,603,235,438,110,147,62,0,0,42,0,0.0,0.0421539895299076,5.538618802559524,0.2085882402388041,0.0,0.0597532800000015,1.7931372886403514,0.02863405211376484,156,447,48,187
reduced_formula_group,6,valid,,665,173,438,110,148,59,0,0,40,0,0.0,0.0491824419565194,5.253856920064102,0.138571005746133,0.0,0.0483655875238193,5.538618802559524,0.23409309382047194,166,499,38,135
reduced_formula_group,7,valid,,610,228,438,110,148,63,0,0,44,0,0.0,0.044008346065975645,5.538618802559524,0.10333589762325782,0.0,0.05286260221861555,5.253856920064102,0.304993256511025,163,447,41,187
reduced_formula_group,8,valid,,652,186,438,110,147,63,0,0,43,0,0.0,0.04830946964732645,5.538618802559524,0.09881877479806259,0.0,0.0497598632477602,5.253856920064102,0.36563651096828786,172,480,32,154
reduced_formula_group,9,valid,,703,135,438,110,146,63,0,0,42,0,0.0,0.0501143045083409,5.538618802559524,0.17980203034200457,0.0,0.0364054037499999,2.0888909325666685,0.0465454482692912,166,537,38,97
chemical_system_group,0,valid,,733,105,454,94,133,34,0,0,0,0,0.0,0.0526328819642838,5.538618802559524,0.17578051457518915,0.0,0.012172265781249,1.6056496160000044,0.034640288441653753,158,575,46,59
chemical_system_group,1,valid,,471,367,381,167,133,34,0,0,0,0,0.0,0.0365132426124992,3.1207136875000003,0.04238873204691034,0.0,0.0586433493402767,5.538618802559524,0.30620810419594674,144,327,60,307
chemical_system_group,2,valid,,716,122,441,107,133,34,0,0,0,0,0.0,0.0526893518750002,5.538618802559524,0.18295390401284656,0.0,0.02580957139946035,0.7288770556004902,0.011634002638777199,160,556,44,78
chemical_system_group,3,valid,,691,147,425,123,133,34,0,0,0,0,0.0,0.0518973828571445,5.538618802559524,0.18858017597675822,0.0,0.0210333631249879,0.7988267117963019,0.015064613519534512,154,537,50,97
chemical_system_group,4,valid,,741,97,465,83,133,34,0,0,0,0,0.0,0.0507875051190493,5.538618802559524,0.17708311780342462,0.0,0.0241725416718736,0.7288770556004902,0.013065248051001196,166,575,38,59
chemical_system_group,5,valid,,708,130,436,112,133,34,0,0,0,0,0.0,0.0513592712580166,5.538618802559524,0.17247952043667567,0.0,0.0317969172763161,3.1207136875000003,0.08080980881234076,161,547,43,87
chemical_system_group,6,valid,,464,374,392,156,133,34,0,0,0,0,0.0,0.0269818533988792,3.1207136875000003,0.03345633658651995,0.0,0.0616483432536756,5.538618802559524,0.31025661248458125,162,302,42,332
chemical_system_group,7,valid,,755,83,477,71,133,34,0,0,0,0,0.0,0.0500254289062525,5.538618802559524,0.17406215810959266,0.0,0.0291899587499999,0.7288770556004902,0.01380940285860896,178,577,26,57
chemical_system_group,8,valid,,741,97,468,80,133,34,0,0,0,0,0.0,0.0502257435714312,5.538618802559524,0.17715188535712084,0.0,0.0271274321238452,0.6556137204421768,0.013907674279476638,172,569,32,65
chemical_system_group,9,valid,,748,90,469,79,133,34,0,0,0,0,0.0,0.05003756778645925,5.538618802559524,0.17546872335786448,0.0,0.03650694373397815,0.7288770556004902,0.014250232520612966,171,577,33,57
