metric,value
total_rows,838
descriptor_valid_rows,838
descriptor_warning_rows,0
descriptor_invalid_rows,0
parse_success_rows,838
parse_failure_rows,0
primary_feature_count,60
features_with_missing_values,0
constant_feature_count,0
near_constant_feature_count,0
highly_correlated_pair_count,39
duplicate_descriptor_vector_rows,400
reduced_formula_group_count,548
reduced_formula_singleton_count,438
reduced_formula_singleton_rate,0.7992700729927007
maximum_formula_group_size,68
maximum_formula_group_share,0.081145584725537
chemical_system_group_count,167
chemical_system_singleton_count,73
chemical_system_singleton_rate,0.437125748502994
maximum_chemical_system_group_size,241
maximum_chemical_system_group_share,0.28758949880668255
ambiguous_formula_group_count,109
composition_diagnostic_mae,0.04956294336856753
composition_diagnostic_rmse,0.3157428762147056
target_zero_rate,0.16825775656324582
target_variance,0.15836790966256073
theoretical_false_count,204
theoretical_true_count,634
random_split_readiness,ready
formula_group_split_readiness,ready
chemical_system_split_readiness,ready
optional_structure_split_feasibility,"{""crystal_system_group_count"":7,""max_crystal_system_group_share"":0.2732696897374702,""max_crystal_system_group_size"":229,""policy"":""feasibility_only_no_split_assignment""}"
overall_modeling_readiness,conditional
stop_reasons,
