scope,metric,value,severity,description
overall,scope,overall,info,Target suitability diagnostic; no target transformation is applied.
overall,count,838,info,Target suitability diagnostic; no target transformation is applied.
overall,null_or_nonfinite_count,0,info,Target suitability diagnostic; no target transformation is applied.
overall,zero_count,141,info,Target suitability diagnostic; no target transformation is applied.
overall,zero_rate,0.16825775656324582,info,Target suitability diagnostic; no target transformation is applied.
overall,near_zero_count,141,info,Target suitability diagnostic; no target transformation is applied.
overall,near_zero_rate,0.16825775656324582,info,Target suitability diagnostic; no target transformation is applied.
overall,positive_count,697,info,Target suitability diagnostic; no target transformation is applied.
overall,outlier_count,31,info,Target suitability diagnostic; no target transformation is applied.
overall,robust_outlier_rule,value > p75 + 3*IQR,info,Target suitability diagnostic; no target transformation is applied.
overall,min,0.0,info,Target suitability diagnostic; no target transformation is applied.
overall,p01,0.0,info,Target suitability diagnostic; no target transformation is applied.
overall,p05,0.0,info,Target suitability diagnostic; no target transformation is applied.
overall,p10,0.0,info,Target suitability diagnostic; no target transformation is applied.
overall,p25,0.008948668250000775,info,Target suitability diagnostic; no target transformation is applied.
overall,median,0.048901150624092546,info,Target suitability diagnostic; no target transformation is applied.
overall,p75,0.09404452929803118,info,Target suitability diagnostic; no target transformation is applied.
overall,p90,0.20732600921117972,info,Target suitability diagnostic; no target transformation is applied.
overall,p95,0.2802287996303803,info,Target suitability diagnostic; no target transformation is applied.
overall,p99,1.4547765986777292,info,Target suitability diagnostic; no target transformation is applied.
overall,max,5.538618802559524,info,Target suitability diagnostic; no target transformation is applied.
overall,mean,0.11485223385742548,info,Target suitability diagnostic; no target transformation is applied.
overall,variance,0.15836790966256073,info,Target suitability diagnostic; no target transformation is applied.
overall,standard_deviation,0.3979546577972932,info,Target suitability diagnostic; no target transformation is applied.
overall,skewness,10.243286412540181,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,scope,theoretical=False,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,count,204,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,null_or_nonfinite_count,0,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,zero_count,92,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,zero_rate,0.45098039215686275,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,near_zero_count,92,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,near_zero_rate,0.45098039215686275,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,positive_count,112,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,outlier_count,13,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,robust_outlier_rule,value > p75 + 3*IQR,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,min,0.0,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,p01,0.0,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,p05,0.0,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,p10,0.0,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,p25,0.0,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,median,0.00336990664062495,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,p75,0.044174738680019275,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,p90,0.10894548524218683,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,p95,0.20410988576908695,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,p99,0.5818997946561908,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,max,1.1978847043181844,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,mean,0.04754774174199322,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,variance,0.015206441704533351,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,standard_deviation,0.12331440185369003,info,Target suitability diagnostic; no target transformation is applied.
theoretical=False,skewness,5.845108102841139,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,scope,theoretical=True,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,count,634,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,null_or_nonfinite_count,0,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,zero_count,49,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,zero_rate,0.07728706624605679,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,near_zero_count,49,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,near_zero_rate,0.07728706624605679,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,positive_count,585,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,outlier_count,26,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,robust_outlier_rule,value > p75 + 3*IQR,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,min,0.0,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,p01,0.0,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,p05,0.0,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,p10,0.00305029088492306,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,p25,0.022246706744792226,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,median,0.06017176995323355,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,p75,0.1044435187558225,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,p90,0.21770904259125445,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,p95,0.30332210633507023,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,p99,1.9912922300709717,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,max,5.538618802559524,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,mean,0.13650856885986742,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,variance,0.2025059174745809,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,standard_deviation,0.45000657492372365,info,Target suitability diagnostic; no target transformation is applied.
theoretical=True,skewness,9.197524843084077,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,scope,chemical_system=Fe-Li-O-Si,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,count,241,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,null_or_nonfinite_count,0,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,zero_count,1,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,zero_rate,0.004149377593360996,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,near_zero_count,1,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,near_zero_rate,0.004149377593360996,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,positive_count,240,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,outlier_count,13,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,robust_outlier_rule,value > p75 + 3*IQR,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,min,0.0,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,p01,0.0022818044375003594,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,p05,0.0103795344166659,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,p10,0.02092160535088,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,p25,0.0414346565476213,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,median,0.0628010092307747,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,p75,0.0850591941952831,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,p90,0.1047961709459448,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,p95,0.2495335285937541,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,p99,4.674372005525635,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,max,5.538618802559524,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,mean,0.18217531299853287,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,variance,0.4571324701260482,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,standard_deviation,0.6761157224366611,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-Li-O-Si,skewness,6.539747443949267,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-O-Si,scope,chemical_system=Fe-O-Si,info,Target suitability diagnostic; no target transformation is applied.
chemical_system=Fe-O-Si,count,44,info,Target suitability diagnostic; no target transformation is applied.
