descriptor_id,entity_count,non_missing_count,missing_count,coverage,unique_value_count,role,prediction_context,leakage_status
structure_volume_per_atom,838,838,0,1,837,structure_feature_candidate,known_structure_post_relaxation,target_not_accessed
structure_density,838,838,0,1,837,structure_feature_candidate,known_structure_post_relaxation,target_not_accessed
ordered_structure_flag,838,838,0,1,1,structure_feature_candidate_categorical,known_structure_post_relaxation,target_not_accessed
crystal_system_category,838,838,0,1,7,structure_feature_candidate_categorical,known_structure_post_relaxation,target_not_accessed
space_group_number_category,838,838,0,1,103,structure_feature_candidate_categorical,known_structure_post_relaxation,target_not_accessed
nearest_neighbor_distance_mean,838,838,0,1,838,structure_feature_candidate,known_structure_post_relaxation,target_not_accessed
nearest_neighbor_distance_std,838,838,0,1,838,structure_feature_candidate,known_structure_post_relaxation,target_not_accessed
nearest_neighbor_distance_cv,838,838,0,1,838,structure_feature_candidate,known_structure_post_relaxation,target_not_accessed
coordination_number_mean,838,838,0,1,418,structure_feature_candidate,known_structure_post_relaxation,target_not_accessed
coordination_number_std,838,838,0,1,521,structure_feature_candidate,known_structure_post_relaxation,target_not_accessed
packing_fraction_candidate,838,0,838,0,0,unavailable_candidate,known_structure_post_relaxation,target_not_accessed
site_count,838,838,0,1,83,integrity_descriptive_only,known_structure_post_relaxation,target_not_accessed
raw_lattice_primary_feature,838,838,0,1,1,invariance_guard,known_structure_post_relaxation,target_not_accessed
target_accessed,838,838,0,1,1,leakage_audit,known_structure_post_relaxation,audit_flag_false_for_all_rows
