descriptor_id,version,required_entity_type,output_unit,role,prediction_context,algorithm,leakage_status,disorder_support,claim_boundary
structure_volume_per_atom,1,CrystalStructureEntity,angstrom^3/atom,structure_feature_candidate,known_structure_post_relaxation,cell_volume / site_count,forbidden,not_explicitly_supported_in_tier1,descriptor_candidate_not_validated_predictive_feature
structure_density,1,CrystalStructureEntity,g/cm^3,structure_feature_candidate,known_structure_post_relaxation,source/computed density when available,forbidden,not_explicitly_supported_in_tier1,descriptor_candidate_not_validated_predictive_feature
ordered_structure_flag,1,CrystalStructureEntity,unitless,structure_feature_candidate,known_structure_post_relaxation,ordered/disordered metadata,forbidden,not_explicitly_supported_in_tier1,descriptor_candidate_not_validated_predictive_feature
crystal_system_category,1,CrystalStructureEntity,category,structure_feature_candidate,known_structure_post_relaxation,source-provided symmetry metadata only,forbidden,not_explicitly_supported_in_tier1,descriptor_candidate_not_validated_predictive_feature
space_group_number_category,1,CrystalStructureEntity,category,structure_feature_candidate,known_structure_post_relaxation,source-provided symmetry metadata only,forbidden,not_explicitly_supported_in_tier1,descriptor_candidate_not_validated_predictive_feature
nearest_neighbor_distance_mean,1,CrystalStructureEntity,angstrom,structure_feature_candidate,known_structure_post_relaxation,radius_graph_v1 neighbor distances,forbidden,not_explicitly_supported_in_tier1,descriptor_candidate_not_validated_predictive_feature
nearest_neighbor_distance_std,1,CrystalStructureEntity,angstrom,structure_feature_candidate,known_structure_post_relaxation,radius_graph_v1 neighbor distances,forbidden,not_explicitly_supported_in_tier1,descriptor_candidate_not_validated_predictive_feature
nearest_neighbor_distance_cv,1,CrystalStructureEntity,unitless,structure_feature_candidate,known_structure_post_relaxation,radius_graph_v1 neighbor distances,forbidden,not_explicitly_supported_in_tier1,descriptor_candidate_not_validated_predictive_feature
coordination_number_mean,1,CrystalStructureEntity,count,structure_feature_candidate,known_structure_post_relaxation,radius_graph_v1 directed out-degree,forbidden,not_explicitly_supported_in_tier1,descriptor_candidate_not_validated_predictive_feature
coordination_number_std,1,CrystalStructureEntity,count,structure_feature_candidate,known_structure_post_relaxation,radius_graph_v1 directed out-degree,forbidden,not_explicitly_supported_in_tier1,descriptor_candidate_not_validated_predictive_feature
packing_fraction_candidate,1,CrystalStructureEntity,unitless,descriptive_only,known_structure_post_relaxation,unavailable without explicit radius source,forbidden,not_explicitly_supported_in_tier1,descriptor_candidate_not_validated_predictive_feature
site_count,1,CrystalStructureEntity,count,integrity_only,known_structure_post_relaxation,unit-cell choice dependent,forbidden,not_explicitly_supported_in_tier1,descriptor_candidate_not_validated_predictive_feature
