coverage_metric,count,denominator,status
original_dataset_rows,838,original_dataset_rows,source_scope
unique_requested_material_ids,838,unique_requested_material_ids,existing_ids_only
api_returned_documents,838,unique_requested_material_ids,returned
missing_material_ids,0,unique_requested_material_ids,none_missing
structure_available,838,api_returned_documents,available
crystal_structure_entity_converted,838,api_returned_documents,converted
integrity_valid,838,converted_entities,valid
ordered_structures,838,converted_entities,observed
disordered_structures,0,converted_entities,observed
composition_reduced_match,838,converted_entities,consistent
snapshot_aligned_structures,838,converted_entities,future_primary_candidate
descriptor_eligible_entities,838,converted_entities,eligible
graph_eligible_entities,838,converted_entities,eligible
