schema_version,comparison_id,baseline_feature_set,candidate_feature_set,split_strategy,model_variant,valid_fold_count,mae_improvement_mean,mae_improvement_median,mae_improvement_std,mae_improvement_min,mae_improvement_max,rmse_improvement_mean,rmse_improvement_median,r2_delta_mean,r2_delta_median,improved_fold_fraction_mae,improved_fold_fraction_rmse,improvement_sign_convention,status
2.2.5,A_vs_B,known_structure_composition_baseline_v1,known_structure_composition_physics_v1,chemical_system_group,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,A_vs_B,known_structure_composition_baseline_v1,known_structure_composition_physics_v1,chemical_system_group,histogram_gradient_boosting_log1p,10,-0.00011981989092956572,-0.0008359957503128387,0.0017109542698341912,-0.0021671181403231654,0.002983918147277602,0.0004193218075180027,-0.0001665855902674429,0.009482243427061198,-0.0007237109945014142,0.4,0.5,positive_means_candidate_better,valid
2.2.5,A_vs_B,known_structure_composition_baseline_v1,known_structure_composition_physics_v1,chemical_system_group,histogram_gradient_boosting_raw,10,-0.00045582952568619937,-0.0008844068763725621,0.0052904039047699586,-0.007672207431113534,0.009750806644248516,-0.001970458861722789,-0.001279497485364857,-0.038018026750215025,-0.01352927727556863,0.3,0.3,positive_means_candidate_better,valid
2.2.5,A_vs_B,known_structure_composition_baseline_v1,known_structure_composition_physics_v1,chemical_system_group,ridge_log1p,10,-0.0007753220112239959,-0.0006130313340233298,0.000657287873896444,-0.0024783749753426454,9.64835653652768e-05,-0.0006273321143311416,-0.00015499838898345997,-0.006559851962381735,-0.0024331216972407477,0.1,0.3,positive_means_candidate_better,valid
2.2.5,A_vs_B,known_structure_composition_baseline_v1,known_structure_composition_physics_v1,chemical_system_group,ridge_raw,10,-0.0015500753332729322,-0.0018149256069258934,0.0011268621518825352,-0.003062176470297273,0.0002603047955368476,-0.0016869939558458113,-0.0014817541109730104,-0.02665800819706594,-0.014607666508918205,0.1,0.1,positive_means_candidate_better,valid
2.2.5,A_vs_B,known_structure_composition_baseline_v1,known_structure_composition_physics_v1,random,dummy_median,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive_means_candidate_better,valid
2.2.5,A_vs_B,known_structure_composition_baseline_v1,known_structure_composition_physics_v1,random,histogram_gradient_boosting_log1p,10,0.00017268965269851623,0.000336500463205075,0.0004290554742616346,-0.0010624215482447907,0.00048598113540376797,-0.0004667644284369873,-0.0003497067571582857,-0.017411177574320157,-0.0014898803558271445,0.9,0.4,positive_means_candidate_better,valid
2.2.5,A_vs_B,known_structure_composition_baseline_v1,known_structure_composition_physics_v1,random,histogram_gradient_boosting_raw,10,0.0008009211466059706,0.0005658646704279069,0.0012527381805285131,-0.0005209432572776812,0.0040918171380043555,0.00017206768040768926,-0.00023082276373484478,0.023807366160506403,-0.0006368753917082581,0.7,0.5,positive_means_candidate_better,valid
2.2.5,A_vs_B,known_structure_composition_baseline_v1,known_structure_composition_physics_v1,random,ridge_log1p,10,-0.0001855848427437426,-6.402495230359295e-06,0.00038871949245201205,-0.0008022863002567215,0.00029012409898701574,-0.00029932795205276226,-0.00025099582942025855,-0.004266720667187696,-0.0014183565614839244,0.5,0.2,positive_means_candidate_better,valid
2.2.5,A_vs_B,known_structure_composition_baseline_v1,known_structure_composition_physics_v1,random,ridge_raw,10,-0.0007090814400121812,-0.0005490046037126134,0.000886220950196213,-0.0027828703697257706,0.0004916347190966341,-0.000823852319274021,-0.000869057597134057,-0.014779318395379248,-0.0072124593857429975,0.2,0.1,positive_means_candidate_better,valid
