case_study_version,source_artifact,source_sha256,model_name,feature_set,weighting_policy,input_model_status,primary_median_pr_auc,primary_min_pr_auc,primary_max_pr_auc,primary_iqr_pr_auc,asset_disjoint_pr_auc,time_aware_pr_auc,combined_pr_auc,random_reference_pr_auc,dummy_pr_auc,prevalence_baseline,lift_over_prevalence_abs,lift_over_prevalence_ratio,random_primary_gap,top_0_1_precision,top_0_5_precision,top_1_precision,top_5_precision,top_1_lift,top_1_failed_asset_capture,threshold_0_5_precision,threshold_0_5_recall,threshold_0_5_mcc,brier_score,training_row_count,training_asset_count,training_positive_count,training_subsample_status,resource_status,weighting_dependency_status,repeated_origin_dependency,eligibility_status,representative_model_selected,rejection_reasons
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,dummy_prior,smart_only_conservative,asset_balanced,diagnostic_only,0.0011165594353176,0.0009878361771663,0.0011559321186673,8.404797075050024e-05,0.0009878361771663,0.0011559321186673,0.0011165594353176,0.0009800745428958,0.0011165594353176,0.0009804839343302643,0.00013607550098733564,1.138784019016369,-0.0001364848924217,0.0,0.0,0.0,0.0007807620237351,0.0,0.0,0.0011165594353176,1.0,,0.6483491345892275,3917624.0,23244.0,4018.0,not_subsampled,not_subsampled,mixed_or_small_gap,high_repeated_origin_dependency,descriptive_only,False,baseline_model_not_candidate
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,dummy_prior,smart_only_conservative,raw_row,diagnostic_only,0.0011165594353176,0.0009878361771663,0.0011559321186673,8.404797075050024e-05,0.0009878361771663,0.0011559321186673,0.0011165594353176,0.0009800745428958,0.0011165594353176,0.0009804839343302643,0.00013607550098733564,1.138784019016369,-0.0001364848924217,0.0,0.0,0.0,0.0007807620237351,0.0,0.0,0.0010521978062419499,1.0,,0.2500000000102256,3917624.0,23244.0,4018.0,not_subsampled,not_subsampled,mixed_or_small_gap,high_repeated_origin_dependency,descriptive_only,False,baseline_model_not_candidate
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,dummy_prior,smart_plus_safe_operational_metadata,asset_balanced,diagnostic_only,0.0011165594353176,0.0009878361771663,0.0011559321186673,8.404797075050024e-05,0.0009878361771663,0.0011559321186673,0.0011165594353176,0.0009800745428958,0.0011165594353176,0.0009804839343302643,0.00013607550098733564,1.138784019016369,-0.0001364848924217,0.0,0.0,0.0,0.0007807620237351,0.0,0.0,0.0011165594353176,1.0,,0.6483491345892275,3917624.0,23244.0,4018.0,not_subsampled,not_subsampled,mixed_or_small_gap,high_repeated_origin_dependency,descriptive_only,False,baseline_model_not_candidate
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,dummy_prior,smart_plus_safe_operational_metadata,raw_row,diagnostic_only,0.0011165594353176,0.0009878361771663,0.0011559321186673,8.404797075050024e-05,0.0009878361771663,0.0011559321186673,0.0011165594353176,0.0009800745428958,0.0011165594353176,0.0009804839343302643,0.00013607550098733564,1.138784019016369,-0.0001364848924217,0.0,0.0,0.0,0.0007807620237351,0.0,0.0,0.0010521978062419499,1.0,,0.2500000000102256,3917624.0,23244.0,4018.0,not_subsampled,not_subsampled,mixed_or_small_gap,high_repeated_origin_dependency,descriptive_only,False,baseline_model_not_candidate
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,hist_gradient_boosting,smart_only_conservative,asset_balanced,candidate_for_further_validation,0.0574150320180386,0.0467910900771778,0.0690900673445404,0.011149488633681301,0.0467910900771778,0.0574150320180386,0.0690900673445404,0.0388624241866827,0.0011165594353176,0.0009804839343302643,0.05643454808370834,58.55785088131697,-0.0185526078313559,0.0387596899224806,0.0811232449297972,0.0671350507416081,0.0187382885696439,60.12671481523942,0.7692307692307693,0.0116027170919772,0.8540540540540541,0.0937576026171709,0.0866658214369548,200000.0,22411.0,4018.0,subsampled_training,resource_limited_subsampled_training,mixed_or_small_gap,high_repeated_origin_dependency,diagnostic_only,False,resource_limited_subsampled_training_only; fixed_threshold_precision_too_low; external_validation_absent; calibration_not_established
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,hist_gradient_boosting,smart_only_conservative,raw_row,candidate_for_further_validation,0.0703304026498085,0.0487849721061542,0.1012828596577381,0.02624894377579194,0.0487849721061542,0.1012828596577381,0.0703304026498085,0.0387583110333564,0.0011165594353176,0.0009804839343302643,0.06934991871547823,71.73029581341262,-0.0315720916164521,0.0077519379844961,0.1076443057722308,0.0749414519906323,0.0187382885696439,67.1181932821277,0.8846153846153846,0.0092106199729518,0.8743243243243243,0.0832204903147297,0.1098472696177396,200000.0,22411.0,4018.0,subsampled_training,resource_limited_subsampled_training,mixed_or_small_gap,high_repeated_origin_dependency,diagnostic_only,False,resource_limited_subsampled_training_only; fixed_threshold_precision_too_low; raw_row_weighting_sensitive_to_repeated_origins; external_validation_absent; calibration_not_established
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,hist_gradient_boosting,smart_plus_safe_operational_metadata,asset_balanced,candidate_for_further_validation,0.0569606273680721,0.0462017380044772,0.0631268806571438,0.008462571326333296,0.0462017380044772,0.0569606273680721,0.0631268806571438,0.0327633653147557,0.0011165594353176,0.0009804839343302643,0.05598014343374184,58.09440152324372,-0.0241972620533164,0.0232558139534883,0.095163806552262,0.0647931303669008,0.0187382885696439,58.02927127517292,0.7692307692307693,0.0152439024390243,0.8243243243243243,0.1106395015555379,0.0840504096250455,200000.0,22411.0,4018.0,subsampled_training,resource_limited_subsampled_training,mixed_or_small_gap,high_repeated_origin_dependency,diagnostic_only,False,resource_limited_subsampled_training_only; fixed_threshold_precision_too_low; external_validation_absent; calibration_not_established
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,hist_gradient_boosting,smart_plus_safe_operational_metadata,raw_row,candidate_for_further_validation,0.0671250003934965,0.046554428776273,0.0980850825737316,0.025765326898729304,0.046554428776273,0.0980850825737316,0.0671250003934965,0.0398330342647383,0.0011165594353176,0.0009804839343302643,0.06614451645916623,68.46109155204806,-0.0272919661287581,0.0077519379844961,0.1076443057722308,0.0733801717408274,0.0187382885696439,65.71989758875004,0.8846153846153846,0.0115524803854945,0.8531468531468531,0.0938120897223929,0.107354994850782,200000.0,22411.0,4018.0,subsampled_training,resource_limited_subsampled_training,mixed_or_small_gap,high_repeated_origin_dependency,diagnostic_only,False,resource_limited_subsampled_training_only; fixed_threshold_precision_too_low; raw_row_weighting_sensitive_to_repeated_origins; external_validation_absent; calibration_not_established
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,logistic_regression,smart_only_conservative,asset_balanced,candidate_for_further_validation,0.0572688483373335,0.0313372635627259,0.0673660485715363,0.018014392504405202,0.0313372635627259,0.0572688483373335,0.0673660485715363,0.0337516772916259,0.0011165594353176,0.0009804839343302643,0.056288364403003235,58.40875748408048,-0.0235171710457075,0.1627906976744186,0.1154446177847113,0.0647931303669008,0.0140537164272329,58.02927127517292,0.7307692307692307,0.0050625555780558,0.6472972972972973,0.0492598845838105,0.1322002589731989,250000.0,22556.0,4018.0,subsampled_training,resource_limited_subsampled_training,mixed_or_small_gap,high_repeated_origin_dependency,diagnostic_only,False,resource_limited_subsampled_training_only; fixed_threshold_precision_too_low; external_validation_absent; calibration_not_established
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,logistic_regression,smart_only_conservative,raw_row,candidate_for_further_validation,0.0611988472388634,0.0326438043334336,0.0714728113904991,0.019414503528532752,0.0326438043334336,0.0611988472388634,0.0714728113904991,0.0353111737791773,0.0011165594353176,0.0009804839343302643,0.06021836330453314,62.4169811417321,-0.025887673459686,0.1705426356589147,0.1170046801872074,0.0647931303669008,0.0135852592129918,58.02927127517292,0.7307692307692307,0.003323333921534,0.7418918918918919,0.0371294174456628,0.1574256606668087,250000.0,22556.0,4018.0,subsampled_training,resource_limited_subsampled_training,mixed_or_small_gap,high_repeated_origin_dependency,diagnostic_only,False,resource_limited_subsampled_training_only; fixed_threshold_precision_too_low; raw_row_weighting_sensitive_to_repeated_origins; external_validation_absent; calibration_not_established
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,logistic_regression,smart_plus_safe_operational_metadata,asset_balanced,candidate_for_further_validation,0.0505239845866076,0.0313211999379254,0.0635715030627218,0.0161251515623982,0.0313211999379254,0.0505239845866076,0.0635715030627218,0.036245010468048,0.0011165594353176,0.0009804839343302643,0.049543500652277334,51.52964043324059,-0.0142789741185596,0.1550387596899224,0.0967238689547582,0.0593286494925839,0.0148344784509681,53.13523634835111,0.6538461538461539,0.0141621943947525,0.6643356643356644,0.0867587142677974,0.0778911301477626,250000.0,22556.0,4018.0,subsampled_training,resource_limited_subsampled_training,mixed_or_small_gap,high_repeated_origin_dependency,diagnostic_only,False,resource_limited_subsampled_training_only; fixed_threshold_precision_too_low; external_validation_absent; calibration_not_established
