case_study_version,source_artifact,source_sha256,model_name,feature_set,weighting_policy,resource_status,training_subsample_status,fit_train_rows_median,fit_train_assets_median,fit_train_positives_median,test_set_subsampled_any,boundary_status,decision
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,dummy_prior,smart_only_conservative,asset_balanced,not_subsampled,not_subsampled,3917624.0,23244.0,4018.0,False,full_training_or_baseline,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,dummy_prior,smart_only_conservative,raw_row,not_subsampled,not_subsampled,3917624.0,23244.0,4018.0,False,full_training_or_baseline,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,dummy_prior,smart_plus_safe_operational_metadata,asset_balanced,not_subsampled,not_subsampled,3917624.0,23244.0,4018.0,False,full_training_or_baseline,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,dummy_prior,smart_plus_safe_operational_metadata,raw_row,not_subsampled,not_subsampled,3917624.0,23244.0,4018.0,False,full_training_or_baseline,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,hist_gradient_boosting,smart_only_conservative,asset_balanced,resource_limited_subsampled_training,subsampled_training,200000.0,22411.0,4018.0,False,not_full_data_evidence,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,hist_gradient_boosting,smart_only_conservative,raw_row,resource_limited_subsampled_training,subsampled_training,200000.0,22411.0,4018.0,False,not_full_data_evidence,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,hist_gradient_boosting,smart_plus_safe_operational_metadata,asset_balanced,resource_limited_subsampled_training,subsampled_training,200000.0,22411.0,4018.0,False,not_full_data_evidence,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,hist_gradient_boosting,smart_plus_safe_operational_metadata,raw_row,resource_limited_subsampled_training,subsampled_training,200000.0,22411.0,4018.0,False,not_full_data_evidence,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,logistic_regression,smart_only_conservative,asset_balanced,resource_limited_subsampled_training,subsampled_training,250000.0,22556.0,4018.0,False,not_full_data_evidence,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,logistic_regression,smart_only_conservative,raw_row,resource_limited_subsampled_training,subsampled_training,250000.0,22556.0,4018.0,False,not_full_data_evidence,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,logistic_regression,smart_plus_safe_operational_metadata,asset_balanced,resource_limited_subsampled_training,subsampled_training,250000.0,22556.0,4018.0,False,not_full_data_evidence,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,logistic_regression,smart_plus_safe_operational_metadata,raw_row,resource_limited_subsampled_training,subsampled_training,250000.0,22556.0,4018.0,False,not_full_data_evidence,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,random_forest,smart_only_conservative,asset_balanced,resource_limited_subsampled_training,subsampled_training,120000.0,21844.0,4018.0,False,not_full_data_evidence,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,random_forest,smart_only_conservative,raw_row,resource_limited_subsampled_training,subsampled_training,120000.0,21844.0,4018.0,False,not_full_data_evidence,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,random_forest,smart_plus_safe_operational_metadata,asset_balanced,resource_limited_subsampled_training,subsampled_training,120000.0,21844.0,4018.0,False,not_full_data_evidence,Do not treat resource-limited subsampled training as production-grade full-data validation.
v1.5.5,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,random_forest,smart_plus_safe_operational_metadata,raw_row,resource_limited_subsampled_training,subsampled_training,120000.0,21844.0,4018.0,False,not_full_data_evidence,Do not treat resource-limited subsampled training as production-grade full-data validation.
