feature_name,smart_id,feature_type,member_coverage,asset_coverage,non_missing_count,missing_rate,unique_count,constant_status,availability_status,prediction_feature_candidate,exclusion_reason,negative_raw_value_count
smart_10_normalized,10,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_10_raw,10,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_11_normalized,11,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_11_raw,11,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_12_normalized,12,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_12_raw,12,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_13_normalized,13,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_13_raw,13,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_15_normalized,15,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_15_raw,15,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_183_normalized,183,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_183_raw,183,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_184_normalized,184,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_184_raw,184,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_187_normalized,187,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_187_raw,187,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_188_normalized,188,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_188_raw,188,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_189_normalized,189,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_189_raw,189,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_190_normalized,190,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_190_raw,190,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_191_normalized,191,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_191_raw,191,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_192_normalized,192,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_192_raw,192,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_193_normalized,193,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_193_raw,193,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_194_normalized,194,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_194_raw,194,raw,1.0,>=10000,5091501,0.0,42,variable_or_capped,available,True,,0
smart_195_normalized,195,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_195_raw,195,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_196_normalized,196,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_196_raw,196,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_197_normalized,197,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_197_raw,197,raw,1.0,>=10000,5091501,0.0,569,variable_or_capped,available,True,,0
smart_198_normalized,198,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_198_raw,198,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_199_normalized,199,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_199_raw,199,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_1_normalized,1,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_1_raw,1,raw,1.0,>=10000,5091501,0.0,>=10000,variable_or_capped,available,True,,0
smart_200_normalized,200,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_200_raw,200,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_201_normalized,201,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_201_raw,201,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_223_normalized,223,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_223_raw,223,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_225_normalized,225,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_225_raw,225,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_240_normalized,240,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_240_raw,240,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_241_normalized,241,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_241_raw,241,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_242_normalized,242,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_242_raw,242,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_250_normalized,250,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_250_raw,250,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_251_normalized,251,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_251_raw,251,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_252_normalized,252,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_252_raw,252,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_254_normalized,254,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_254_raw,254,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_255_normalized,255,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_255_raw,255,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_2_normalized,2,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_2_raw,2,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_3_normalized,3,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_3_raw,3,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_4_normalized,4,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_4_raw,4,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_5_normalized,5,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_5_raw,5,raw,1.0,>=10000,5091501,0.0,5074,variable_or_capped,available,True,,0
smart_7_normalized,7,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_7_raw,7,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_8_normalized,8,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_8_raw,8,raw,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_9_normalized,9,normalized,1.0,0,0,1.0,0,constant,all_missing,False,all_missing,0
smart_9_raw,9,raw,1.0,>=10000,5091501,0.0,>=10000,variable_or_capped,available,True,,0
