date,files_for_date,rows,active_assets,failure_rows,newly_appearing_assets,disappearing_assets,coverage_status
2013-04-10,1,21195,21195,1,21195,1,present
2013-04-11,1,21195,21195,0,1,0,present
2013-04-12,1,21195,21195,0,0,0,present
2013-04-13,1,21150,21150,0,0,0,present
2013-04-14,1,21599,21599,0,449,0,present
2013-04-15,1,21599,21599,0,0,2,present
2013-04-16,1,21599,21599,12,135,12,present
2013-04-17,1,21600,21600,3,13,3,present
2013-04-18,1,21600,21600,0,3,0,present
2013-04-19,1,21600,21600,12,0,12,present
2013-04-20,1,21600,21600,0,12,0,present
2013-04-21,1,21599,21599,0,0,0,present
2013-04-22,1,21599,21599,0,0,0,present
2013-04-23,1,21644,21644,0,45,0,present
2013-04-24,1,21688,21688,10,89,55,present
2013-04-25,1,21689,21689,5,10,5,present
2013-04-26,1,21734,21734,0,7,0,present
2013-04-27,1,21734,21734,0,0,0,present
2013-04-28,1,21734,21734,0,0,0,present
2013-04-29,1,21734,21734,0,0,0,present
2013-04-30,1,21734,21734,0,0,0,present
2013-05-01,1,21734,21734,7,0,7,present
2013-05-02,1,21732,21732,4,7,4,present
2013-05-03,1,21733,21733,8,4,8,present
2013-05-04,1,21734,21734,0,9,0,present
2013-05-05,1,21735,21735,0,0,0,present
2013-05-06,1,21735,21735,0,0,0,present
2013-05-07,1,21735,21735,13,0,13,present
2013-05-08,1,21735,21735,11,13,11,present
2013-05-09,1,21645,21645,7,56,7,present
2013-05-10,1,21870,21870,2,97,2,present
2013-05-11,1,21870,21870,0,2,0,present
2013-05-12,1,21870,21870,0,0,0,present
2013-05-13,1,21870,21870,3,0,3,present
2013-05-14,1,21870,21870,11,3,11,present
2013-05-15,1,21870,21870,8,11,8,present
2013-05-16,1,21870,21870,0,8,0,present
2013-05-17,1,21870,21870,3,0,3,present
2013-05-18,1,22590,22590,0,678,0,present
2013-05-19,1,22635,22635,0,45,0,present
2013-05-20,1,22635,22635,0,0,0,present
2013-05-21,1,22635,22635,12,0,12,present
2013-05-22,1,22635,22635,6,12,6,present
2013-05-23,1,22635,22635,2,6,2,present
2013-05-24,1,22635,22635,2,2,2,present
2013-05-25,1,22680,22680,0,47,0,present
2013-05-26,1,22680,22680,0,0,0,present
2013-05-27,1,22680,22680,0,0,0,present
2013-05-28,1,22680,22680,0,0,0,present
2013-05-29,1,22635,22635,0,0,0,present
2013-05-30,1,22635,22635,10,0,10,present
2013-05-31,1,22635,22635,10,10,10,present
2013-06-01,1,22635,22635,1,10,1,present
2013-06-02,1,22635,22635,0,1,0,present
2013-06-03,1,22635,22635,0,0,0,present
2013-06-04,1,22680,22680,14,0,14,present
2013-06-05,1,22591,22591,7,15,5,present
2013-06-06,1,22545,22545,3,4,3,present
2013-06-07,1,22545,22545,5,3,5,present
