case_study_version,source_artifact,source_sha256,split_id,split_type,validation_type,claim_scope,feature_set,weighting_policy,model_name,model_type,train_rows,validation_rows,test_rows,train_assets,validation_assets,test_assets,train_positives,validation_positives,test_positives,train_positive_assets,test_positive_assets,train_date_start,train_date_end,test_date_start,test_date_end,asset_overlap_count,temporal_overlap,sample_overlap_count,leakage_status,feasibility_status,primary_evidence,training_subsample_status,fit_train_rows,fit_train_assets,fit_train_positives,test_set_subsampled,threshold,true_negative,false_positive,false_negative,true_positive,balanced_accuracy,mcc,f1,precision,recall,specificity,negative_predictive_value,accuracy,predicted_positive_rate,threshold_selection_policy,threshold_selected_using_test_labels,status
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,dummy_prior,dummy_prior,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,not_subsampled,3917624,23244,3834,False,0.5,0,973895,0,963,0.5,,0.0019737226397054377,0.0009878361771663154,1.0,0.0,,0.0009878361771663154,1.0,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,logistic_regression,logistic_regression,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,subsampled_training,250000,22556,3834,False,0.5,860891,113004,388,575,0.7405296884729338,0.04710282411816631,0.010039985332890994,0.005062555578055803,0.5970924195223261,0.8839669574235416,0.9995495071864053,0.8836835723766948,0.11650825043237066,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,random_forest,random_forest,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,subsampled_training,120000,21844,3834,False,0.5,948625,25270,305,658,0.8286670282661378,0.1283375510808126,0.048938306496597375,0.025377969762419007,0.6832814122533749,0.9740526442789007,0.9996785853540303,0.9737654099366266,0.026596694082625365,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,asset_balanced,hist_gradient_boosting,hist_gradient_boosting,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,subsampled_training,200000,22411,3834,False,0.5,911890,62005,216,747,0.8560169534098866,0.09114512490657539,0.023448167621439222,0.011904003059663437,0.7757009345794392,0.936332972240334,0.9997631854192386,0.9361742941023206,0.06437040061219172,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,dummy_prior,dummy_prior,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,not_subsampled,3917624,23244,3834,False,0.5,0,973895,0,963,0.5,,0.0019737226397054377,0.0009878361771663154,1.0,0.0,,0.0009878361771663154,1.0,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,logistic_regression,logistic_regression,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,subsampled_training,250000,22556,3834,False,0.5,789779,184116,336,627,0.7310195807984892,0.037035554343757264,0.006752608962553714,0.0033939039638849647,0.6510903426791277,0.8109488189178505,0.9995747454484474,0.8107909049317952,0.1895076000812426,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,random_forest,random_forest,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,subsampled_training,120000,21844,3834,False,0.5,926860,47035,266,697,0.8377420468921678,0.09833545739882747,0.028627169113872065,0.01460236319450264,0.7237798546209762,0.9517042391633594,0.9997130918559074,0.9514790872106502,0.04896302846158107,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_only_conservative,raw_row,hist_gradient_boosting,hist_gradient_boosting,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,subsampled_training,200000,22411,3834,False,0.5,887539,86356,193,770,0.855456940716746,0.078283706603339,0.017482319018265618,0.008837775176181622,0.7995846313603323,0.9113292500731598,0.9997825920435447,0.9112188646961916,0.08937301637776988,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,dummy_prior,dummy_prior,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,not_subsampled,3917624,23244,3834,False,0.5,0,973895,0,963,0.5,,0.0019737226397054377,0.0009878361771663154,1.0,0.0,,0.0009878361771663154,1.0,fixed_default_0_5,False,valid
v1.5.4,data/processed/reliability_v1_5_horizon_7d_lookback_7d_dataset.csv,a0635ebba0a310e9ab1cbefb28182c028e9ea6102c57f662ef310deba3414c91,asset_disjoint_stratified_80_20,asset_disjoint,primary_asset_disjoint,unseen_asset_generalization,smart_plus_safe_operational_metadata,asset_balanced,logistic_regression,logistic_regression,3917624,0,974858,23244,0,5812,3834,0,963,565,141,2013-04-10,2013-12-30,2013-04-10,2013-12-30,0,overlap_allowed_or_reference,0,asset_overlap_0,feasible,True,subsampled_training,250000,22556,3834,False,0.5,805934,167961,274,689,0.7715046656413227,0.045098259364264766,0.008124377258818604,0.0040853839312185,0.715472481827622,0.8275368494550234,0.9996601373342859,0.8274261482185098,0.1729995548069565,fixed_default_0_5,False,valid
