summary_type,model_name,split_id,stratum,row_count,failure_count,failure_rate,false_negative_count,false_positive_count,precision,recall,average_precision,mcc,score_min,score_median,score_max,row_missing_rate_median,retained_feature_count_median,timestamp_start,timestamp_end,status,predicted_positive_rate
all,dummy_prior,blocked_chronological_fold_1,all,313,21,0.0670926517571885,21,0,,0.0,0.0670926517571885,,0.14057507987220447,0.14057507987220447,0.14057507987220447,0.05423728813559322,448.0,2008-08-19 18:30:00,2008-09-01 06:21:00,descriptive,
temporal_block,dummy_prior,blocked_chronological_fold_1,0,313,21,0.0670926517571885,21,0,,0.0,0.0670926517571885,,0.14057507987220447,0.14057507987220447,0.14057507987220447,0.05423728813559322,448.0,2008-08-19 18:30:00,2008-09-01 06:21:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_1,0,2,0,0.0,0,0,,,,,0.14057507987220447,0.14057507987220447,0.14057507987220447,0.02711864406779661,448.0,2008-08-19 18:30:00,2008-08-21 20:21:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_1,1,24,0,0.0,0,0,,,,,0.14057507987220447,0.14057507987220447,0.14057507987220447,0.03389830508474576,448.0,2008-08-20 01:33:00,2008-08-30 15:37:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_1,2,111,10,0.09009009009009009,10,0,,0.0,0.09009009009009009,,0.14057507987220447,0.14057507987220447,0.14057507987220447,0.04067796610169491,448.0,2008-08-19 19:38:00,2008-09-01 06:21:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_1,3,176,11,0.0625,11,0,,0.0,0.0625,,0.14057507987220447,0.14057507987220447,0.14057507987220447,0.061016949152542375,448.0,2008-08-19 18:30:00,2008-09-01 05:32:00,descriptive,
threshold_sensitivity,dummy_prior,blocked_chronological_fold_1,threshold=0.2,313,21,,21,0,,0.0,,,,0.14057507987220447,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,blocked_chronological_fold_1,threshold=0.5,313,21,,21,0,,0.0,,,,0.14057507987220447,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,blocked_chronological_fold_1,threshold=0.8,313,21,,21,0,,0.0,,,,0.14057507987220447,,,,,,descriptive,0.0
all,dummy_prior,blocked_chronological_fold_2,all,314,11,0.03503184713375796,11,0,,0.0,0.03503184713375796,,0.10383386581469649,0.10383386581469649,0.10383386581469649,0.04745762711864407,452.0,2008-09-01 06:52:00,2008-09-20 05:34:00,descriptive,
temporal_block,dummy_prior,blocked_chronological_fold_2,0,148,2,0.013513513513513514,2,0,,0.0,0.013513513513513514,,0.10383386581469649,0.10383386581469649,0.10383386581469649,0.05084745762711865,452.0,2008-09-01 06:52:00,2008-09-10 09:21:00,descriptive,
temporal_block,dummy_prior,blocked_chronological_fold_2,1,166,9,0.05421686746987952,9,0,,0.0,0.05421686746987952,,0.10383386581469649,0.10383386581469649,0.10383386581469649,0.04067796610169491,452.0,2008-09-10 20:52:00,2008-09-20 05:34:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_2,0,52,4,0.07692307692307693,4,0,,0.0,0.07692307692307693,,0.10383386581469649,0.10383386581469649,0.10383386581469649,0.020338983050847456,452.0,2008-09-10 09:21:00,2008-09-20 05:25:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_2,1,19,1,0.05263157894736842,1,0,,0.0,0.05263157894736842,,0.10383386581469649,0.10383386581469649,0.10383386581469649,0.03389830508474576,452.0,2008-09-02 01:36:00,2008-09-20 03:58:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_2,2,126,2,0.015873015873015872,2,0,,0.0,0.015873015873015872,,0.10383386581469649,0.10383386581469649,0.10383386581469649,0.04745762711864407,452.0,2008-09-01 09:06:00,2008-09-20 05:34:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_2,3,117,4,0.03418803418803419,4,0,,0.0,0.03418803418803419,,0.10383386581469649,0.10383386581469649,0.10383386581469649,0.06779661016949153,452.0,2008-09-01 06:52:00,2008-09-19 21:14:00,descriptive,
threshold_sensitivity,dummy_prior,blocked_chronological_fold_2,threshold=0.2,314,11,,11,0,,0.0,,,,0.10383386581469649,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,blocked_chronological_fold_2,threshold=0.5,314,11,,11,0,,0.0,,,,0.10383386581469649,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,blocked_chronological_fold_2,threshold=0.8,314,11,,11,0,,0.0,,,,0.10383386581469649,,,,,,descriptive,0.0
all,dummy_prior,blocked_chronological_fold_3,all,313,11,0.03514376996805112,11,0,,0.0,0.03514376996805112,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.02711864406779661,468.0,2008-09-20 06:08:00,2008-10-02 19:25:00,descriptive,
temporal_block,dummy_prior,blocked_chronological_fold_3,1,177,2,0.011299435028248588,2,0,,0.0,0.011299435028248588,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.03389830508474576,468.0,2008-09-20 06:08:00,2008-09-27 00:16:00,descriptive,
temporal_block,dummy_prior,blocked_chronological_fold_3,2,136,9,0.0661764705882353,9,0,,0.0,0.0661764705882353,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.02711864406779661,468.0,2008-09-27 00:17:00,2008-10-02 19:25:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_3,0,161,5,0.031055900621118012,5,0,,0.0,0.031055900621118012,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.020338983050847456,468.0,2008-09-20 11:18:00,2008-10-02 19:25:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_3,1,50,4,0.08,4,0,,0.0,0.08,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.03389830508474576,468.0,2008-09-20 06:08:00,2008-10-02 17:19:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_3,2,69,2,0.028985507246376812,2,0,,0.0,0.028985507246376812,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.04745762711864407,468.0,2008-09-20 07:21:00,2008-10-02 10:03:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_3,3,33,0,0.0,0,0,,,,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.05423728813559322,468.0,2008-09-20 12:36:00,2008-10-02 08:57:00,descriptive,
threshold_sensitivity,dummy_prior,blocked_chronological_fold_3,threshold=0.2,313,11,,11,0,,0.0,,,,0.08085106382978724,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,blocked_chronological_fold_3,threshold=0.5,313,11,,11,0,,0.0,,,,0.08085106382978724,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,blocked_chronological_fold_3,threshold=0.8,313,11,,11,0,,0.0,,,,0.08085106382978724,,,,,,descriptive,0.0
all,dummy_prior,blocked_chronological_fold_4,all,314,17,0.054140127388535034,17,0,,0.0,0.054140127388535034,,0.06943335993615324,0.06943335993615324,0.06943335993615324,0.03389830508474576,468.0,2008-10-02 20:54:00,2008-10-17 06:07:00,descriptive,
temporal_block,dummy_prior,blocked_chronological_fold_4,2,54,3,0.05555555555555555,3,0,,0.0,0.05555555555555555,,0.06943335993615324,0.06943335993615324,0.06943335993615324,0.02711864406779661,468.0,2008-10-02 20:54:00,2008-10-05 04:01:00,descriptive,
temporal_block,dummy_prior,blocked_chronological_fold_4,3,260,14,0.05384615384615385,14,0,,0.0,0.05384615384615385,,0.06943335993615324,0.06943335993615324,0.06943335993615324,0.03389830508474576,468.0,2008-10-05 04:20:00,2008-10-17 06:07:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_4,0,147,10,0.06802721088435375,10,0,,0.0,0.06802721088435375,,0.06943335993615324,0.06943335993615324,0.06943335993615324,0.02711864406779661,468.0,2008-10-02 20:54:00,2008-10-16 03:56:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_4,1,62,6,0.0967741935483871,6,0,,0.0,0.0967741935483871,,0.06943335993615324,0.06943335993615324,0.06943335993615324,0.03389830508474576,468.0,2008-10-03 05:01:00,2008-10-15 17:19:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_4,2,62,1,0.016129032258064516,1,0,,0.0,0.016129032258064516,,0.06943335993615324,0.06943335993615324,0.06943335993615324,0.04067796610169491,468.0,2008-10-03 02:41:00,2008-10-15 19:15:00,descriptive,
missingness_quantile,dummy_prior,blocked_chronological_fold_4,3,43,0,0.0,0,0,,,,,0.06943335993615324,0.06943335993615324,0.06943335993615324,0.08135593220338982,468.0,2008-10-03 19:23:00,2008-10-17 06:07:00,descriptive,
threshold_sensitivity,dummy_prior,blocked_chronological_fold_4,threshold=0.2,314,17,,17,0,,0.0,,,,0.06943335993615324,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,blocked_chronological_fold_4,threshold=0.5,314,17,,17,0,,0.0,,,,0.06943335993615324,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,blocked_chronological_fold_4,threshold=0.8,314,17,,17,0,,0.0,,,,0.06943335993615324,,,,,,descriptive,0.0
all,dummy_prior,expanding_train_future_test_60_20,all,313,11,0.03514376996805112,11,0,,0.0,0.03514376996805112,,0.08085106382978724,0.08085106382978724,0.08085106382978724,0.02711864406779661,468.0,2008-09-20 06:08:00,2008-10-02 19:25:00,descriptive,
