feature_name,source_column_index,dtype,non_missing_count,missing_count,missing_rate,unique_count,finite_count,mean,std,median,q01,q25,q75,q99,minimum,maximum,constant_status,all_missing_status,near_constant_status,infinite_status,readiness_category,exclusion_reason
process_feature_000,0,float64,1561,6,0.0038289725590299937,1520,1561,3014.4528955797564,73.62178674853077,3011.49,2851.98,2966.26,3056.65,3225.568,2743.24,3356.35,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
process_feature_001,1,float64,1560,7,0.004467134652201659,1504,1560,2495.850230769231,80.40770497881121,2499.4049999999997,2272.3202,2452.2475000000004,2538.8225,2717.5008000000003,2158.75,2846.44,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
process_feature_002,2,float64,1553,14,0.008934269304403318,507,1553,2200.5473177076624,29.513152057457155,2201.0667,2124.8444,2181.0444,2218.0555,2269.2556,2060.66,2315.2667,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
process_feature_003,3,float64,1553,14,0.008934269304403318,518,1553,1396.3766273663878,441.6916403756737,1285.2144,867.3027,1081.8758,1591.2235,3012.8419480000025,0.0,3715.0417,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
process_feature_004,4,float64,1553,14,0.008934269304403318,503,1553,4.197013135866065,56.35554009369094,1.3168,0.7531,1.0177,1.5257,2.525024,0.6815,1114.5366,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
process_feature_005,5,float64,1553,14,0.008934269304403318,1,1553,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,constant,not_all_missing,not_near_constant,no_infinite,constant,constant
process_feature_006,6,float64,1553,14,0.008934269304403318,510,1553,101.11290824211203,6.237213788938685,101.5122,83.8222,97.92,104.5867,119.3544,82.1311,129.2522,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
process_feature_007,7,float64,1558,9,0.00574345883854499,89,1558,0.12182150192554556,0.008961318060306013,0.1224,0.1172,0.1211,0.1238,0.1268,0.0,0.1286,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
process_feature_008,8,float64,1565,2,0.0012763241863433313,1208,1565,1.4628616613418528,0.07389656150907685,1.4616,1.29434,1.4112,1.5169,1.6170999999999998,1.191,1.6564,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
process_feature_009,9,float64,1565,2,0.0012763241863433313,568,1565,-0.0008410223642172522,0.015116189521664193,-0.0013,-0.034616,-0.0108,0.0084,0.03883599999999999,-0.0534,0.0749,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
process_feature_010,10,float64,1565,2,0.0012763241863433313,392,1565,0.0001457507987220447,0.00930210506944666,0.0004,-0.02316,-0.0056,0.0059,0.02254399999999996,-0.0349,0.053,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
process_feature_011,11,float64,1565,2,0.0012763241863433313,378,1565,0.9643527795527156,0.012452051783214598,0.9658,0.943364,0.9581,0.9713,0.9804360000000001,0.6554,0.9848,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
process_feature_012,12,float64,1565,2,0.0012763241863433313,1547,1565,199.9568092651757,3.2572756729454815,199.5356,193.78838,198.1307,202.0071,206.22544799999997,182.094,272.0451,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
process_feature_013,13,float64,1564,3,0.0019144862795149968,1,1564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,constant,not_all_missing,not_near_constant,no_infinite,constant,constant
process_feature_014,14,float64,1564,3,0.0019144862795149968,1555,1564,9.005370524296675,2.7965955707527526,8.966999999999999,3.0595000000000003,7.094875,10.861875,15.63876899999997,2.2493,19.5465,not_constant,not_all_missing,not_near_constant,no_infinite,low_missing,
