case_study_version,source_artifact,source_sha256,split_id,split_type,validation_type,model_name,model_type,train_rows,validation_rows,test_rows,train_failures,validation_failures,test_failures,train_time_start,train_time_end,validation_time_start,validation_time_end,test_time_start,test_time_end,temporal_overlap,sample_overlap_count,leakage_status,feasibility_status,primary_evidence,threshold,true_negative,false_positive,false_negative,true_positive,balanced_accuracy,mcc,f1,precision,recall,specificity,negative_predictive_value,accuracy,predicted_positive_rate,threshold_selection_policy,threshold_selected_using_test_labels,status
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,stratified_random_reference_80_20,stratified_random_reference,random_reference,dummy_prior,dummy_prior,1253,0,314,83,0,21,2008-07-19 11:55:00,2008-10-17 06:07:00,,,2008-07-19 12:32:00,2008-10-17 06:01:00,not_applicable_random_reference,0,optimistic_reference_not_primary,feasible,False,0.5,293,0,21,0,0.5,,,,0.0,1.0,0.9331210191082803,0.9331210191082803,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,stratified_random_reference_80_20,stratified_random_reference,random_reference,logistic_regression_balanced,logistic_regression,1253,0,314,83,0,21,2008-07-19 11:55:00,2008-10-17 06:07:00,,,2008-07-19 12:32:00,2008-10-17 06:01:00,not_applicable_random_reference,0,optimistic_reference_not_primary,feasible,False,0.5,260,33,15,6,0.5865431496830814,0.13110145142762591,0.2,0.15384615384615385,0.2857142857142857,0.8873720136518771,0.9454545454545454,0.8471337579617835,0.12420382165605096,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,stratified_random_reference_80_20,stratified_random_reference,random_reference,random_forest_balanced,random_forest,1253,0,314,83,0,21,2008-07-19 11:55:00,2008-10-17 06:07:00,,,2008-07-19 12:32:00,2008-10-17 06:01:00,not_applicable_random_reference,0,optimistic_reference_not_primary,feasible,False,0.5,293,0,21,0,0.5,,,,0.0,1.0,0.9331210191082803,0.9331210191082803,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,stratified_random_reference_80_20,stratified_random_reference,random_reference,hist_gradient_boosting_balanced,hist_gradient_boosting,1253,0,314,83,0,21,2008-07-19 11:55:00,2008-10-17 06:07:00,,,2008-07-19 12:32:00,2008-10-17 06:01:00,not_applicable_random_reference,0,optimistic_reference_not_primary,feasible,False,0.5,263,30,16,5,0.5678530797984723,0.10772261664364587,0.17857142857142855,0.14285714285714285,0.23809523809523808,0.8976109215017065,0.942652329749104,0.8535031847133758,0.11146496815286625,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,expanding_train_future_test_60_20,expanding_train_future_test,primary_temporal,dummy_prior,dummy_prior,940,0,313,76,0,11,2008-07-19 11:55:00,2008-09-20 05:34:00,,,2008-09-20 06:08:00,2008-10-02 19:25:00,none,0,no_future_to_past,feasible,True,0.5,302,0,11,0,0.5,,,,0.0,1.0,0.9648562300319489,0.9648562300319489,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,expanding_train_future_test_60_20,expanding_train_future_test,primary_temporal,logistic_regression_balanced,logistic_regression,940,0,313,76,0,11,2008-07-19 11:55:00,2008-09-20 05:34:00,,,2008-09-20 06:08:00,2008-10-02 19:25:00,none,0,no_future_to_past,feasible,True,0.5,262,40,11,0,0.4337748344370861,-0.07305358669414876,,0.0,0.0,0.8675496688741722,0.9597069597069597,0.8370607028753994,0.12779552715654952,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,expanding_train_future_test_60_20,expanding_train_future_test,primary_temporal,random_forest_balanced,random_forest,940,0,313,76,0,11,2008-07-19 11:55:00,2008-09-20 05:34:00,,,2008-09-20 06:08:00,2008-10-02 19:25:00,none,0,no_future_to_past,feasible,True,0.5,302,0,11,0,0.5,,,,0.0,1.0,0.9648562300319489,0.9648562300319489,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,expanding_train_future_test_60_20,expanding_train_future_test,primary_temporal,hist_gradient_boosting_balanced,hist_gradient_boosting,940,0,313,76,0,11,2008-07-19 11:55:00,2008-09-20 05:34:00,,,2008-09-20 06:08:00,2008-10-02 19:25:00,none,0,no_future_to_past,feasible,True,0.5,297,5,11,0,0.4917218543046358,-0.02431658119673581,,0.0,0.0,0.9834437086092715,0.9642857142857143,0.9488817891373802,0.01597444089456869,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,expanding_train_future_test_70_15,expanding_train_future_test,primary_temporal,dummy_prior,dummy_prior,1096,0,235,78,0,17,2008-07-19 11:55:00,2008-09-26 02:26:00,,,2008-09-26 03:12:00,2008-10-05 18:59:00,none,0,no_future_to_past,feasible,True,0.5,218,0,17,0,0.5,,,,0.0,1.0,0.9276595744680851,0.9276595744680851,0.0,fixed_default_0_5,False,valid
v1.4.4,data/processed/smart_factory_v1_4_secom_analysis_ready.csv,9e2154366730fafbe3423246d881b14eb1e07285201ddf67911e96c844e3b5b2,expanding_train_future_test_70_15,expanding_train_future_test,primary_temporal,logistic_regression_balanced,logistic_regression,1096,0,235,78,0,17,2008-07-19 11:55:00,2008-09-26 02:26:00,,,2008-09-26 03:12:00,2008-10-05 18:59:00,none,0,no_future_to_past,feasible,True,0.5,213,5,17,0,0.48853211009174313,-0.041173453714569534,,0.0,0.0,0.9770642201834863,0.9260869565217391,0.9063829787234042,0.02127659574468085,fixed_default_0_5,False,valid
